ID,SLIKA,IME,GRAD,ADRESA,MJESTO,GEOGR. ŠIRINA,GEOGR. DUŽINA,LOKACIJA,TIP,USLUGE,ŽUPANIJA
43,(BLOB),"POŠTANSKI URED    TRG IVANA KUKULJEVIĆA 5  ZAGREB, ŠPANSKO",ZAGREB,TRG IVANA KUKULJEVIĆA 5,,45.804817,15.895329,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
44,(BLOB),POŠTANSKI URED  SLAVKA KOLARA 15 VELIKA GORICA,VELIKA GORICA,SLAVKA KOLARA 15,,45.713417,16.070412,POŠTANSKI URED,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
45,(BLOB),"POŠTANSKI URED    OZALJSKA 150  ZAGREB, LJUBLJANICA",ZAGREB,OZALJSKA 150,,45.797382,15.937128,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
46,(BLOB),"POŠTANSKI URED    SIGET 18C  ZAGREB, SIGET",ZAGREB,SIGET 18C,,45.770615,15.968199,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
47,(BLOB),"POŠTANSKI URED  KENNEDYEV TRG 11  ZAGREB, PEŠĆENICA",ZAGREB,KENNEDYEV TRG 11,,45.814743,16.009119,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
48,(BLOB),"POŠTANSKI URED    TRG S.KONZULA 5  ZAGREB, VOLOVČICA",ZAGREB,TRG S.KONZULA 5,,45.806576,16.020342,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
49,,INICIJA D.O.O. ZAGREBAČKA B.B.  NOVI MAROF,NOVI MAROF,ZAGREBAČKA B.B.,,46.159828,16.335255,INICIJA D.O.O.,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
50,(BLOB),POŠTANSKI URED  D. ŠVAJCARA 5 ZAPREŠIĆ,ZAPREŠIĆ,D. ŠVAJCARA 5,,45.858814,15.803275,POŠTANSKI URED,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
51,(BLOB),POŠTANSKI URED  TOMASSINIJEVA 13 PULA,PULA,TOMASSINIJEVA 13,,44.857475,13.839372,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
52,(BLOB),"ROBNA KUĆA \""IMA\""  ŠETALIŠTE S. RADIĆA 22  IMOTSKI",IMOTSKI,ŠETALIŠTE S. RADIĆA 22,,43.447514,17.214848,"ROBNA KUĆA \""IMA\"" ",BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
53,(BLOB),TEKSTIL D.O.O.  ZAGREBAČKA 2/A ZLATAR,ZLATAR,ZAGREBAČKA 2/A,,46.091389,16.077162,TEKSTIL D.O.O.,BANKOMAT,,KRAPINSKO-ZAGORSKA ŽUPANIJA
54,(BLOB),"KONZUM-AGROKOR    ULICA VILE VELEBITA BB  ZAGREB, DUBRAVA",ZAGREB,ULICA VILE VELEBITA BB,,45.839161,16.061991,KONZUM-AGROKOR,BANKOMAT,,GRAD ZAGREB
55,(BLOB),POSLOVNICA  BIHAĆKA 2 SPLIT,SPLIT,BIHAĆKA 2,,43.512535,16.44207,POSLOVNICA,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
56,(BLOB),"KONZUM-AGROKOR   ZAGORSKA 27  ZAGREB, TREŠNJEVKA",ZAGREB,ZAGORSKA 27,,45.807026,15.941066,KONZUM-AGROKOR,BANKOMAT,,GRAD ZAGREB
57,(BLOB),"KONZUM-AGROKOR   BAŠTIJANOVA-DRVINJE  ZAGREB, VOLTINO",ZAGREB,BAŠTIJANOVA-DRVINJE,,45.8008,15.929618,KONZUM-AGROKOR,BANKOMAT,,GRAD ZAGREB
58,(BLOB),FINA  TRG SVETOG TROJSTVA 19 POŽEGA,POŽEGA,TRG SVETOG TROJSTVA 19,,45.330894,17.677132,FINA,BANKOMAT,,POŽEŠKO-SLAVONSKA ŽUPANIJA
59,(BLOB),POŠTANSKI URED  KAMENITA VRATA 8 POŽEGA,POŽEGA,KAMENITA VRATA 8,,45.334892,17.677946,POŠTANSKI URED,BANKOMAT,,POŽEŠKO-SLAVONSKA ŽUPANIJA
60,(BLOB),POŠTANSKI URED TRG KRALJA TOMISLAVA 19  KUTINA,KUTINA,TRG KRALJA TOMISLAVA 19,,45.482597,16.776274,POŠTANSKI URED,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
61,(BLOB),POŠTANSKI URED  B.I.MAŽURANIĆA 5 ŠIBENIK,ŠIBENIK,B.I.MAŽURANIĆA 5,,43.743446,15.89859,POŠTANSKI URED,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
62,(BLOB),POŠTANSKI URED  TRG S. RADIĆA 9 PRIMOŠTEN,PRIMOŠTEN,TRG S. RADIĆA 9,,43.588192,15.925241,POŠTANSKI URED,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
366,(BLOB),POŠTANSKI URED  ZVONIMIROVA 38 ZAGREB,ZAGREB,ZVONIMIROVA 38,,45.810474,15.995225,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
64,(BLOB),"POŠTANSKI URED PRILAZ BARUNA FILIPOVIĆA 54  ZAGREB, ČRNOMEREC",ZAGREB,PRILAZ BARUNA FILIPOVIĆA 54,,45.811661,15.944778,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
65,(BLOB),POŠTANSKI URED  LJUDEVITA POSAVSKOG BB OSIJEK,OSIJEK,LJUDEVITA POSAVSKOG BB,,45.564037,18.652843,POŠTANSKI URED,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
66,(BLOB),POŠTANSKI URED  PAPANDOPULOVA 1  SPLIT,SPLIT,PAPANDOPULOVA 1,,43.507423,16.471371,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
67,(BLOB),POŠTANSKI URED  TRG A. STEPINCA 1 BRELA,BRELA,TRG A. STEPINCA 1,,43.368057,16.931669,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
68,(BLOB),KONZUM  MATICE HRVATSKE 14A BJELOVAR,BJELOVAR,MATICE HRVATSKE 14A,,45.895714,16.842106,KONZUM,BANKOMAT,,BJELOVARSKO-BILOGORSKA ŽUPANIJA
69,(BLOB),"POŠTANSKI URED  ALBAHARIJEVA 7, ZAGREB, KNEŽIJA",ZAGREB,ALBAHARIJEVA 7,,45.791061,15.950818,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
70,(BLOB),PRIVAT PROSTOR  FRANJE TUĐMANA 19 KAŠTEL STARI,KAŠTEL STARI,FRANJE TUĐMANA 19,,43.553432,16.353085,PRIVAT PROSTOR,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
71,(BLOB),"NARODNE NOVINE  TRG KRALJA TOMISLAVA 6 ,VIROVITICA",VIROVITICA,TRG KRALJA TOMISLAVA 6,,45.834801,17.387098,NARODNE NOVINE,BANKOMAT,,VIROVITIČKO-PODRAVSKA ŽUPANIJA
72,(BLOB),POŠTANSKI URED  KOPARSKA 64 PULA,PULA,KOPARSKA 64,,44.876965,13.861141,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
73,(BLOB),"KONZUM-AGROKOR  TURININA BB  ZAGREB, SOPOT",ZAGREB,TURININA BB,,45.772762,15.989699,KONZUM-AGROKOR,BANKOMAT,,GRAD ZAGREB
74,(BLOB),POŠTANSKI URED  KRALJA ZVONIMIRA 99 ČEPIN,ČEPIN,KRALJA ZVONIMIRA 99,,45.523354,18.564793,POŠTANSKI URED,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
75,(BLOB),TRGOVINA BEBER    SVETONEDJELJSKA 22  SAMOBOR,SAMOBOR,SVETONEDJELJSKA 22,,45.799294,15.721757,TRGOVINA BEBER,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
76,(BLOB),POŠTANSKI URED - INDOOR  ALOJZIJA STEPINCA 17 OSIJEK,OSIJEK,ALOJZIJA STEPINCA 17,,45.560112,18.685974,POŠTANSKI URED - INDOOR,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
77,(BLOB),KONZUM-AGROKOR  OBALA SV. NIKOLE BAŠKA VODA,BAŠKA VODA,OBALA SV. NIKOLE,,43.355873,16.949297,KONZUM-AGROKOR,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
78,(BLOB),POŠTANSKI URED  N. ZRINSKOG 86 SLAVONSKI BROD,SLAVONSKI BROD,N. ZRINSKOG 86,,45.158787,18.023918,POŠTANSKI URED,BANKOMAT,,BRODSKO-POSAVSKA ŽUPANIJA
79,(BLOB),POŠTANSKI URED  TRG HRV. PROLJEĆA BB SLAVONSKI BROD,SLAVONSKI BROD,TRG HRV. PROLJEĆA BB,,45.162903,18.009172,POŠTANSKI URED,BANKOMAT,,BRODSKO-POSAVSKA ŽUPANIJA
80,(BLOB),KONZUM -AGROKOR  BRAĆE RADIĆA 8A  VARAŽDIN,VARAŽDIN,BRAĆE RADIĆA 8A,,46.305408,16.32959,KONZUM -AGROKOR,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
81,(BLOB),POŠTANSKI URED    MIROSLAVA KRLEŽE 1  VARAŽDIN,VARAŽDIN,MIROSLAVA KRLEŽE 1,,46.297966,16.338472,POŠTANSKI URED,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
82,(BLOB),POŠTANSKI URED  TRG SV. TROJSTVA BB LUDBREG,LUDBREG,TRG SV. TROJSTVA BB,,46.250565,16.61931,POŠTANSKI URED,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
83,(BLOB),POŠTANSKI URED    VLADIMIRA NAZORA 2  IVANEC,IVANEC,VLADIMIRA NAZORA 2,,46.225098,16.12484,POŠTANSKI URED,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
84,(BLOB),POŠTANSKI URED    IVANA I STJEPANA VIDULIĆA 38  MALI LOŠINJ,MALI LOŠINJ,IVANA I STJEPANA VIDULIĆA 38,,44.533718,14.468093,POŠTANSKI URED,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
85,(BLOB),POŠTANSKI URED  OBALA M. TITA BB  RABAC,RABAC,OBALA M. TITA BB,,45.079445,14.158802,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
86,(BLOB),NARODNE NOVINE    M. VLAŠIĆA 20  POREČ,POREČ,M. VLAŠIĆA 20,,45.23024,13.606106,NARODNE NOVINE,BANKOMAT,,ISTARSKA ŽUPANIJA
87,(BLOB),POŠTANSKI URED  GAJEVA 2 BJELOVAR,BJELOVAR,GAJEVA 2,,45.898865,16.840967,POŠTANSKI URED,BANKOMAT,,BJELOVARSKO-BILOGORSKA ŽUPANIJA
88,(BLOB),FINA  TRG KRALJA TOMISLAVA 3 DARUVAR,DARUVAR,TRG KRALJA TOMISLAVA 3,,45.593712,17.22328,FINA,BANKOMAT,,BJELOVARSKO-BILOGORSKA ŽUPANIJA
89,(BLOB),POŠTANSKI URED  STJEPANA RADIĆA 3 ĐURĐEVAC,ĐURĐEVAC,STJEPANA RADIĆA 3,,46.041088,17.068409,POŠTANSKI URED,BANKOMAT,,KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA
90,(BLOB),POŠTANSKI URED    VUKOVARSKA 28  DUBROVNIK,DUBROVNIK,VUKOVARSKA 28,,42.651638,18.092937,POŠTANSKI URED,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
386,(BLOB),POSLOVNICA ULJARSKA 4 RIJEKA,RIJEKA,ULJARSKA 4,,45.325352,14.443374,POSLOVNICA,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
344,(BLOB),POSLOVNICA VLADIMIRA NAZORA 1A BJELOVAR,BJELOVAR,VLADIMIRA NAZORA 1A,,45.899101,16.840904,POSLOVNICA,BANKOMAT,,BJELOVARSKO-BILOGORSKA ŽUPANIJA
345,(BLOB),POSLOVNICA IVANA GORANA KOVAČIĆA 4 KARLOVAC,KARLOVAC,IVANA GORANA KOVAČIĆA 4,,45.494873,15.553765,POSLOVNICA,BANKOMAT,,KARLOVAČKA ŽUPANIJA
346,(BLOB),TRGOVINA TRGOSTIL TRG SVETOG JURJA 10 GORNJA STUBICA,GORNJA STUBICA,TRG SVETOG JURJA 10,,45.974983,16.017853,TRGOVINA TRGOSTIL,BANKOMAT,,KRAPINSKO-ZAGORSKA ŽUPANIJA
347,(BLOB),TRGOVINA TRGOSTIL V. ŠIPEKA 25 STUBIČKE TOPLICE,STUBIČKE TOPLICE,V. ŠIPEKA 25,,45.977551,15.931420,TRGOVINA TRGOSTIL,BANKOMAT,,KRAPINSKO-ZAGORSKA ŽUPANIJA
348,(BLOB),POSLOVNICA FLORIJANSKI TRG 13 KOPRIVNICA,KOPRIVNICA,FLORIJANSKI TRG 13,,46.164124,16.828178,POSLOVNICA,BANKOMAT,,KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA
352,(BLOB),KNJIGOVODSTVENI SERVIS KUŠANIĆ BANA JOSIPA JELAČIĆA 7ŽUPANJA,ŽUPANJA,BANA JOSIPA JELAČIĆA 7,,45.071697,18.694595,KNJIGOVODSTVENI SERVIS KUŠANIĆ,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
353,(BLOB),PRIVATNI PROSTOR TRG ŽRTAVA DOMOVINSKOG RATA 3 GUNJA,GUNJA,TRG ŽRTAVA DOMOVINSKOG RATA 3,,44.888180,18.827284,PRIVATNI PROSTOR,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
354,(BLOB),"POŠTANSKI URED HRVATSKOG PROLJEĆA 2 DVOR,",DVOR,HRVATSKOG PROLJEĆA 2,,45.067928,16.375988,POŠTANSKI URED,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
355,(BLOB),"POŠTANSKI URED DESNA 61 MARTINSKA VES,",MARTINSKA VES,DESNA 61,,45.584583,16.370415,POŠTANSKI URED,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
357,(BLOB),POSLOVNICA DUBROVAČKA 31 SPLIT,SPLIT,DUBROVAČKA 31,,43.510956,16.454247,POSLOVNICA,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
358,(BLOB),POSLOVNICA ŠETALIŠTE STJEPANA RADIĆA 19 IMOTSKI,IMOTSKI,ŠETALIŠTE STJEPANA RADIĆA 19,,43.447380,17.215366,POSLOVNICA,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
359,(BLOB),"POŠTANSKI URED JABLANSKA 24 ZAGREB, ZAPAD - RUDEŠ",ZAGREB,JABLANSKA 24,,45.798096,15.913889,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
360,(BLOB),"TRŽNICA DOLAC DOLAC 2 ZAGREB, CENTAR - UŽI",ZAGREB,DOLAC 2,(CENTAR - UŽI),45.813847,15.976975,TRŽNICA DOLAC,BANKOMAT,,GRAD ZAGREB
361,(BLOB),"POŠTANSKI URED TRG NARODNE ZAŠTITE 1 ZAGREB, JUG - REMETINEC",ZAGREB,TRG NARODNE ZAŠTITE 1,,45.768017,15.947149,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
362,(BLOB),SUVENIRNICA TIHA 2 DUBROVNIK,DUBROVNIK,TIHA 2,,42.642159,18.105534,SUVENIRNICA,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
363,(BLOB),HIPERMARKET TOMMY ŽNJANSKA 4 SPLIT,SPLIT,ŽNJANSKA 4,,43.506577,16.483065,HIPERMARKET TOMMY,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
364,(BLOB),DISKONT FENIKS VELEBITSKA 123 SPLIT,SPLIT,VELEBITSKA 123,,43.513733,16.471466,DISKONT FENIKS,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
365,(BLOB),HIPERMARKET TOMMY MATOŠEVA 29 SOLIN,SOLIN,MATOŠEVA 29,,43.530678,16.487818,HIPERMARKET TOMMY,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
367,(BLOB),HOTEL TRAKOŠĆAN TRAKOŠĆAN 5 TRAKOŠĆANA?Â ,TRAKOŠĆAN,TRAKOŠĆAN 5,,46.259533,15.950072,HOTEL TRAKOŠĆAN,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
369,(BLOB),ISPOSTAVA KNIN ZVONIMIROVA 9 KNIN,KNIN,ZVONIMIROVA 9,,44.034531,16.197195,ISPOSTAVA KNIN,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
370,(BLOB),POŠTANSKI URED VINKOVAČKA 6 ROKOVCI - ANDRIJAŠEVCI,ROKOVCI,VINKOVAČKA 6,,45.228500,18.741943,POŠTANSKI URED,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
372,(BLOB),CITY CENTAR ONE EAST SLAVONSKA AVENIJA 11d ZAGREB - ŽITNJAK,ZAGREB,SLAVONSKA AVENIJA 11d,,45.800610,16.049438,CITY CENTAR ONE EAST,BANKOMAT,,GRAD ZAGREB
375,(BLOB),POSLOVNICA BANA JOSIPA JELAČIĆA 8 ĐAKOVO,ĐAKOVO,BANA JOSIPA JELAČIĆA 8,,45.310814,18.410522,POSLOVNICA,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
376,(BLOB),POŠTANSKI URED ALOJZIJA STEPINCA 24 OKUČANI,OKUČANI,ALOJZIJA STEPINCA 24,,45.259464,17.200928,POŠTANSKI URED,BANKOMAT,,BRODSKO-POSAVSKA ŽUPANIJA
379,(BLOB),POŠTANSKI URED TINJAN 2 ISTRA - TINJAN,TINJAN,TINJAN 2,,45.217178,13.836417,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
380,(BLOB),TRGOVINA TOMMY S. RADIĆA 139 ŠIBENIK - VIDICI,ŠIBENIK,TOMMY S. RADIĆA 139,,43.723228,15.908546,TRGOVINA,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
381,(BLOB),POŠTANSKI URED TINA UJEVIĆA 10 VRGORAC,VRGORAC,TINA UJEVIĆA 10,,43.204224,17.372131,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
382,(BLOB),POŠTANSKI URED HRVATSKIH BRANITELJA 2 SUKOŠAN,SUKOŠAN,HRVATSKIH BRANITELJA 2,,44.046383,15.313981,POŠTANSKI URED,BANKOMAT,,ZADARSKA ŽUPANIJA
383,(BLOB),POŠTANSKI URED ŠIMUNA KOZIČIĆA BENJE 1 ZADAR,ZADAR,ŠIMUNA KOZIČIĆA BENJE 1,,44.115345,15.224884,POŠTANSKI URED,BANKOMAT,,ZADARSKA ŽUPANIJA
384,(BLOB),POŠTANSKI URED BODULSKA bb KRK,KRK,BODULSKA bb,,45.026123,14.572699,POŠTANSKI URED,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
385,(BLOB),POŠTANSKI URED TRG FUNTANA 3 BUZET,BUZET,TRG FUNTANA 3,,45.407463,13.964197,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
225,(BLOB),MESNICA GRAGČIĆ    TRG KRALJA TOMISLAVA 18  PITOMAČA ,PITOMAČA,TRG KRALJA TOMISLAVA 18,,45.951748,17.23315,MESNICA GRAGČIĆ,BANKOMAT,,VIROVITIČKO-PODRAVSKA ŽUPANIJA
226,(BLOB),"HPB SEKTOR PODRŠKE POSLOVANJU    VLAŠKA ULICA 121  ZAGREB, CENTAR (UŽI) ",ZAGREB,VLAŠKA ULICA 121,CENTAR (UŽI),45.814449,15.994989,HPB SEKTOR PODRŠKE POSLOVANJU,BANKOMAT,,GRAD ZAGREB
227,(BLOB),POŠTANSKI URED    MANDRAČ 28  NOVIGRAD,NOVIGRAD,MANDRAČ 28,,45.316216,13.560922,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
228,(BLOB),HPB ISPOSTAVA    VUKOVARSKA 4  DONJI MIHOLJAC ,DONJI MIHOLJAC,VUKOVARSKA 4,,45.762009,18.165873,HPB ISPOSTAVA,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
229,(BLOB),"POŠTANSKI URED    M. RADEV 2  ZAGREB, PREČKO ",ZAGREB,M. RADEV 2,,45.794289,15.90197,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
230,(BLOB),POŠTANSKI URED    TRG ZRINSKIH I FRANKOPANA BB PLETERNICA ,PLETERNICA,TRG ZRINSKIH I FRANKOPANA BB,,45.286438,17.802143,POŠTANSKI URED,BANKOMAT,,POŽEŠKO-SLAVONSKA ŽUPANIJA
231,(BLOB),POŠTANSKI URED    LOVRETSKA 22  SPLIT ,SPLIT,LOVRETSKA 22,,43.515919,16.439186,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
232,(BLOB),POŠTANSKI URED    BRUNE BUŠIĆA 7  IMOTSKI,IMOTSKI,BRUNE BUŠIĆA 7,,43.445587,17.21644,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
374,(BLOB),ZG HOLDING ULICA GRADA VUKOVARA ZAGREB - CENTAR ŠIRI,ZAGREB,ULICA GRADA VUKOVARA,CENTAR(ŠIRI),45.800236,15.973907,ZG HOLDING,BANKOMAT,,GRAD ZAGREB
234,(BLOB),GRADSKA TRŽNICA ROVINJ    TRG PIAZZA VALDIBORA BB  ROVINJ,ROVINJ,TRG PIAZZA VALDIBORA BB,,45.08337,13.633744,GRADSKA TRŽNICA ROVINJ,BANKOMAT,,ISTARSKA ŽUPANIJA
235,(BLOB),HPB ISPOSTAVA    LIŽNJAN 146  LIŽNJAN,LIŽNJAN,LIŽNJAN 146,,44.828156,13.956907,HPB ISPOSTAVA,BANKOMAT,,ISTARSKA ŽUPANIJA
237,(BLOB),CITY GALLERIA ZADAR    MURVIČKA 1  ZADAR,ZADAR,MURVIČKA 1,,44.11042,15.23779,CITY GALLERIA ZADAR,BANKOMAT,,ZADARSKA ŽUPANIJA
238,(BLOB),CAFE BAR CENTAR    CENTAR 219  MEDULIN,MEDULIN,CENTAR 219,,44.823166,13.937638,CAFE BAR CENTAR,BANKOMAT,,ISTARSKA ŽUPANIJA
239,(BLOB),STANICA ZA TEHNIČKI PREGLED ADA    KUDELJARSKA BB  VUKOVAR- BOROVO NASELJE,VUKOVAR,KUDELJARSKA BB,,45.370056,18.960129,STANICA ZA TEHNIČKI PREGLED ADA,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
240,(BLOB),KLADIONICA SUPERSPORT    TRG KRALJA TOMISLAVA 18  VALPOVO,VALPOVO,TRG KRALJA TOMISLAVA 18,, 45.657864,18.418472,KLADIONICA SUPERSPORT,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
241,,UDRUGA INVALIDA GRADA ZADRA FEDERIKA GRISOGONA 1  ZADAR ,ZADAR,FEDERIKA GRISOGONA 1,,44.114422,15.228167,UDRUGA INVALIDA GRADA ZADRA,BANKOMAT,,ZADARSKA ŽUPANIJA
242,(BLOB),"POSLOVNICA    SAVSKA ULICA 58  ZAGREB, CENTAR (ŠIRI)",ZAGREB,SAVSKA ULICA 58,CENTAR (ŠIRI),45.79892,15.961676,POSLOVNICA,BANKOMAT,,GRAD ZAGREB
243,(BLOB),"POSLOVNICA    SAVSKA ULICA 58  ZAGREB, CENTAR (ŠIRI)",ZAGREB,SAVSKA ULICA 58,CENTAR (ŠIRI),45.798969,15.961558,POSLOVNICA,BANKOMAT,,GRAD ZAGREB
244,(BLOB),HPB ISPOSTAVA    GUTMANOVA 24  BELIŠĆE,BELIŠĆE,GUTMANOVA 24,,45.686188,18.409546,HPB ISPOSTAVA,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
245,(BLOB),POŠTANSKI URED    DOMOVINSKOG RATA 16  DRNIŠ ,DRNIŠ,DOMOVINSKOG RATA 16,,43.860191,16.154741,POŠTANSKI URED,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
246,(BLOB),POŠTANSKI URED    TRG FRANJE TUĐMANA 10  SLUNJ,SLUNJ,TRG FRANJE TUĐMANA 10,,45.114502,15.584278,POŠTANSKI URED,BANKOMAT,,KARLOVAČKA ŽUPANIJA
247,(BLOB),POŠTANSKI URED    KRALJA ZVONIMIRA 23  OTOČAC,OTOČAC,KRALJA ZVONIMIRA 23,,44.86935,15.235655,POŠTANSKI URED,BANKOMAT,,LIČKO-SENJSKA ŽUPANIJA
248,(BLOB),POŠTANSKI URED    ZRINJSKI TRG 2  OGULIN ,OGULIN,ZRINJSKI TRG 2,,45.264874,15.226536,POŠTANSKI URED,BANKOMAT,,KARLOVAČKA ŽUPANIJA
249,(BLOB),KAUFLAND VARAŽDIN    KOPRIVNIČKA 17  VARAŽDIN ,VARAŽDIN,KOPRIVNIČKA 17,,46.315289,16.337206,KAUFLAND VARAŽDIN,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
250,,SUPERNOVA ZADAR    ULICA AKCIJE MASLENICA 1 ZADAR,ZADAR,ULICA AKCIJE MASLENICA 1.,,44.116768,15.269923,SUPERNOVA ZADAR,BANKOMAT,,ZADARSKA ŽUPANIJA
251,(BLOB),CITY CENTER ONE SPLIT    VUKOVARSKA 207  SPLIT ,SPLIT,VUKOVARSKA 207,,43.514339,16.501139,CITY CENTER ONE SPLIT,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
252,(BLOB),POSLOVNICA    RUĐERA BOŠKOVIĆA 18  SPLIT,SPLIT,RUĐERA BOŠKOVIĆA 18,,43.507404,16.466928,POSLOVNICA,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
253,(BLOB),KAUFLAND ZADAR    ANDRIJE HEBRANGA 2  ZADAR ,ZADAR,ANDRIJE HEBRANGA 2,,44.117954,15.240945,KAUFLAND ZADAR,BANKOMAT,,ZADARSKA ŽUPANIJA
254,(BLOB),TRGOVINA VARTEKS    ŠIROKA ULICA BB  ZADAR ,ZADAR,ŠIROKA ULICA BB,,44.114025,15.226091,TRGOVINA VARTEKS,BANKOMAT,,ZADARSKA ŽUPANIJA
255,(BLOB),OPĆINA VELIKI BUKOVEC    DRAVSKA 7  VELIKI BUKOVEC,VELIKI BUKOVEC,DRAVSKA 7,,46.28717,16.708349,OPĆINA VELIKI BUKOVEC,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
256,(BLOB),"ARENA ZAGREB    JARUŠČICA BB  ZAGREB, LANIŠTE ",ZAGREB,JARUŠČICA BB,,45.771564,15.94069,ARENA ZAGREB,BANKOMAT,,GRAD ZAGREB
257,(BLOB),POSLOVNICA    TRG DRAGUTINA DOMJANIĆA 8  SESVETE,SESVETE,TRG DRAGUTINA DOMJANIĆA 8,,45.827091,16.109602,POSLOVNICA,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
258,(BLOB),"PUTNIČKA AGENCIJA CROATIA EXPRESS    TRG KRALJA TOMISLAVA 17  ZAGREB, CENTAR (UŽI) ",ZAGREB,TRG KRALJA TOMISLAVA 17,CENTAR (UŽI),45.806263,15.977876,PUTNIČKA AGENCIJA CROATIA EXPRESS,BANKOMAT,,GRAD ZAGREB
259,(BLOB),MESNICA TRGONOM    TRG MARŠALA TITA 1  VARAŽDINSKE TOPLICE ,VARAŽDINSKE TOPLICE,TRG MARŠALA TITA 1,,46.208454,16.421944,MESNICA TRGONOM,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
