ID,SLIKA,IME,GRAD,ADRESA,MJESTO,GEOGR. ŠIRINA,GEOGR. DUŽINA,LOKACIJA,TIP,USLUGE,ŽUPANIJA
192,(BLOB),POŠTANSKI URED  ŠIBENSKA 7 ZADAR,ZADAR,ŠIBENSKA 7,,44.118877,15.253353,POŠTANSKI URED,BANKOMAT,,ZADARSKA ŽUPANIJA
193,(BLOB),FINA  TRG MARŠALA TITA 1 MATULJI,MATULJI,TRG MARŠALA TITA 1,,45.36393,14.325458,FINA,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
194,(BLOB),POŠTANSKI URED  BARTOLA KAŠIĆA 2 MOKOŠICA,MOKOŠICA,BARTOLA KAŠIĆA 2,,42.675621,18.109192,POŠTANSKI URED,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
195,(BLOB),POSLOVNICA  ZADARSKA 2 ŠIBENIK,ŠIBENIK,ZADARSKA 2,,43.736462,15.891616,POSLOVNICA,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
196,(BLOB),"POŠTANSKI URED    BRAĆE DOMANY 8  ZAGREB, SREDNJACI",ZAGREB,BRAĆE DOMANY 8,,45.789387,15.938394,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
197,(BLOB),POŠTANSKI URED  VLAHE PALJETKA 1 BJELOVAR,BJELOVAR,VLAHE PALJETKA 1,,45.904373,16.85129,POŠTANSKI URED,BANKOMAT,,BJELOVARSKO-BILOGORSKA ŽUPANIJA
198,(BLOB),PRIVATNI PROSTOR  ŠETALIŠTE K. BRANIMIRA 29 BENKOVAC,BENKOVAC,ŠETALIŠTE K. BRANIMIRA 29,,44.033508,15.611808,PRIVATNI PROSTOR,BANKOMAT,,ZADARSKA ŽUPANIJA
199,(BLOB),POŠTANSKI URED  TRG HRVATSKIH VELIKANA 30 BIOGRAD NA MORU,BIOGRAD NA MORU,TRG HRVATSKIH VELIKANA 30,,43.93713,15.443559,POŠTANSKI URED,BANKOMAT,,ZADARSKA ŽUPANIJA
200,(BLOB),OPĆINA ŽUPA DUBROVAČKA    VUKOVARSKA 48  DUBROVNIK ,DUBROVNIK,VUKOVARSKA 48,,42.62286,18.193865,OPĆINA ŽUPA DUBROVAČKA,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
201,(BLOB),"CITY CENTER ONE    JANKOMIR 33  ZAGREB, JANKOMIR ",ZAGREB,JANKOMIR 33,,45.798618,15.884128,CITY CENTER ONE,BANKOMAT,,GRAD ZAGREB
202,(BLOB),TEHNOMOBIL  IVANA GUNDULIĆA 3 METKOVIĆ,METKOVIĆ,IVANA GUNDULIĆA 3,,43.053722,17.649483,TEHNOMOBIL,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
