ATM PK;BRANCH FK;LOCATION FK;ORG ID;A TYPE;a type desc;A PLACE;A NAME;A STATUS;a status desc;BOBJECT NAME;WHOURS TYPE;a whours type desc;REMARK;WEB NOTE;WEB STATUS;a web status desc;LOCATION PK;COUNTY ID;COUNTY NAME;PLACE ZIP;PLACE NAME;STREET NAME;HOUSE N;HOUSE SUBN;ADDRESS LONG;address full;housenum full;X;Y;L STATUS;l status desc;;LONG;LAT
21002;10002;14;81632;1;Bankomat;Bjelovar;Frana Supila 2;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;14;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Frana Supila;2;;Frana Supila 2;Bjelovar, Frana Supila 2;2;1875040.38;5764169.5;1;Prikaûi na karti;;" 16∞ 50' 38""";" 45∞ 53' 56"""
24002;10201;14;;4;Ureaj za zaprimanje naloga;Bjelovar;Frana Supila 2;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;14;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Frana Supila;2;;Frana Supila 2;Bjelovar, Frana Supila 2;2;1875040.38;5764169.5;1;Prikaûi na karti;;" 16∞ 50' 38""";" 45∞ 53' 56"""
25114;10002;14;;2;Dnevno-noÊni trezor;Bjelovar;Frana Supila 2;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;14;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Frana Supila;2;;Frana Supila 2;Bjelovar, Frana Supila 2;2;1875040.38;5764169.5;1;Prikaûi na karti;;" 16∞ 50' 38""";" 45∞ 53' 56"""
21195;;15;54332;1;Bankomat;Bjelovar;J. Haulika 24;1;U funkciji (radi);Remuö d.o.o.;1;0-24 h;;;1;Prikaûi na karti;15;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;J. Haulika;24;;J. Haulika 24;Bjelovar, J. Haulika 24;24;2526979.6;5082619.6;1;Prikaûi na karti;;" 16∞ 50' 34""";" 45∞ 53' 47"""
21197;;17;68832;1;Bankomat;Bjelovar;Vlahe Paljetka 4;1;U funkciji (radi);Kaufland Hrvatska k.d.;2;u radno vrijeme objekta;;;1;Prikaûi na karti;17;7;Bjelovarsko-bilogorska ûupanija;43000;Bjelovar;Vlahe Paljetka;4;;Vlahe Paljetka 4;Bjelovar, Vlahe Paljetka 4;4;2527692.1;5083358.5;1;Prikaûi na karti;;" 16∞ 51' 7""";" 45∞ 54' 11"""
21198;;18;62336;1;Bankomat;Blaûevdol;Blaûevdol bb;1;U funkciji (radi);Vrtni centar PisaËiÊ;1;0-24 h;;;1;Prikaûi na karti;18;1;ZagrebaËka ûupanija;10380;Blaûevdol;Blaûevdol;0;BB;Blaûevdol bb;Blaûevdol, Blaûevdol BB;BB;2479823.45;5086443;1;Prikaûi na karti;;" 16∞ 14' 5""";" 45∞ 55' 52"""
21199;;19;84263;1;Bankomat;Bol na BraËu;Riva bb;1;U funkciji (radi);"Zajed.trg.obrt ""Michael""";1;0-24 h;;;1;Prikaûi na karti;19;17;Splitsko-dalmatinska ûupanija;21420;Bol na BraËu;Riva;0;BB;Riva bb;Bol na BraËu, Riva BB;BB;2513246.41;4789931.76;1;Prikaûi na karti;;" 16∞ 39' 30""";" 43∞ 15' 44"""
21200;;20;75610;1;Bankomat;Botinec;äenoine Branke 2;1;U funkciji (radi);Poslovni prostor;1;0-24 h;;;1;Prikaûi na karti;20;21;Grad Zagreb;10020;Botinec;äenoine Branke;2;;äenoine Branke 2;Botinec, äenoine Branke 2;2;2456540.71;5067110.06;1;Prikaûi na karti;;" 15∞ 56' 11""";" 45∞ 45' 22"""
21201;;21;94339;1;Bankomat;Brdovec;I. GregoreviÊa 81;1;U funkciji (radi);Poslovni prostor;1;0-24 h;;;1;Prikaûi na karti;21;1;ZagrebaËka ûupanija;10291;Brdovec;I. GregoreviÊa;81;;I. GregoreviÊa 81;Brdovec, I. GregoreviÊa 81;81;2442675.13;5079648.16;1;Prikaûi na karti;;" 15∞ 45' 24""";" 45∞ 52' 4"""
21202;;22;43260;1;Bankomat;Bregana;Samoborska 12;1;U funkciji (radi);Dom zdravlja - Samobor;1;0-24 h;;;1;Prikaûi na karti;22;1;ZagrebaËka ûupanija;10432;Bregana;Samoborska;12;;Samoborska 12;Bregana, Samoborska 12;12;2437320.38;5076575.31;1;Prikaûi na karti;;" 15∞ 41' 17""";" 45∞ 50' 23"""
21203;;23;98815;1;Bankomat;Brela ;Biokovska 1;1;U funkciji (radi);TZ Brela;1;0-24 h;;;1;Prikaûi na karti;23;17;Splitsko-dalmatinska ûupanija;21322;Brela ;Biokovska;1;;Biokovska 1;Brela , Biokovska 1;1;2535292.18;4801825.44;1;Prikaûi na karti;;" 16∞ 55' 51""";" 43∞ 22' 7"""
21204;;24;41110;1;Bankomat;Brezovica;BrezoveËka c. 123;1;U funkciji (radi);MandiÊ Pharm ;1;0-24 h;;;1;Prikaûi na karti;24;21;Grad Zagreb;10257;Brezovica;BrezoveËka c.;123;;BrezoveËka c. 123;Brezovica, BrezoveËka c. 123;123;2454693.11;5063900.62;1;Prikaûi na karti;;" 15∞ 54' 46""";" 45∞ 43' 37"""
21205;;25;96446;1;Bankomat;BudinöËina;BudinöËina 7p;1;U funkciji (radi);Merkator ASP;1;0-24 h;;;1;Prikaûi na karti;25;2;Krapinsko-zagorska ûupanija;49284;BudinöËina;BudinöËina;7;P;BudinöËina 7p;BudinöËina, BudinöËina 7/P;7/P;2477642;5108414;1;Prikaûi na karti;;" 16∞ 12' 20""";" 46∞ 7' 43"""
21207;;27;33710;1;Bankomat;Buzin;Bani 75;1;U funkciji (radi);Mani d.o.o.;1;0-24 h;;;1;Prikaûi na karti;27;21;Grad Zagreb;10010;Buzin;Bani;75;;Bani 75;Buzin, Bani 75;75;2461481.5;5065848.8;1;Prikaûi na karti;;" 15∞ 59' 60""";" 45∞ 44' 42"""
