ATM PK;BRANCH FK;LOCATION FK;ORG ID;A TYPE;a type desc;A PLACE;A NAME;A STATUS;a status desc;BOBJECT NAME;WHOURS TYPE;a whours type desc;REMARK;WEB NOTE;WEB STATUS;a web status desc;LOCATION PK;COUNTY ID;COUNTY NAME;PLACE ZIP;PLACE NAME;STREET NAME;HOUSE N;HOUSE SUBN;ADDRESS LONG;address full;housenum full;X;Y;L STATUS;l status desc;;LONG;LAT
21311;;156;10050;1;Bankomat;Ludbreg;Bana JelaËiÊa 25;1;U funkciji (radi);TO Trend;1;0-24 h;;;1;Prikaûi na karti;156;5;Varaûdinska ûupanija;42230;Ludbreg;Bana JelaËiÊa;25;;Bana JelaËiÊa 25;Ludbreg, Bana JelaËiÊa 25;25;2509781.24;5121485.35;1;Prikaûi na karti;;" 16∞ 37' 19""";" 46∞ 14' 48"""
21312;;157;10083;1;Bankomat;Ludbreg;Frankopanska bb;1;U funkciji (radi);TP Varaûdin d.o.o.;1;0-24 h;;;1;Prikaûi na karti;157;5;Varaûdinska ûupanija;42230;Ludbreg;Frankopanska;0;BB;Frankopanska bb;Ludbreg, Frankopanska BB;BB;2508082.89;5122717.4;1;Prikaûi na karti;;" 16∞ 35' 60""";" 46∞ 15' 28"""
21033;10027;158;44320;1;Bankomat;Ludbreg;Trg Svetog Trojstva 20;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;158;5;Varaûdinska ûupanija;42230;Ludbreg;Trg Svetog Trojstva;20;;Trg Svetog Trojstva 20;Ludbreg, Trg Svetog Trojstva 20;20;1849972.38;5820550.5;1;Prikaûi na karti;;" 16∞ 37' 7""";" 46∞ 15' 1"""
24018;10027;158;;4;Ureaj za zaprimanje naloga;Ludbreg;Trg Sv. Trojstva 20;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;158;5;Varaûdinska ûupanija;42230;Ludbreg;Trg Svetog Trojstva;20;;Trg Svetog Trojstva 20;Ludbreg, Trg Svetog Trojstva 20;20;1849972.38;5820550.5;1;Prikaûi na karti;;" 16∞ 37' 7""";" 46∞ 15' 1"""
22011;10027;158;;2;Dnevno-noÊni trezor;Ludbreg;Trg Sv. Trojstva 20;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;158;5;Varaûdinska ûupanija;42230;Ludbreg;Trg Svetog Trojstva;20;;Trg Svetog Trojstva 20;Ludbreg, Trg Svetog Trojstva 20;20;1849972.38;5820550.5;1;Prikaûi na karti;;" 16∞ 37' 7""";" 46∞ 15' 1"""
21313;;159;62820;1;Bankomat;Ludbreg;Trg Svetog Trojstva 7;1;U funkciji (radi);Samoposluga Fontana d.o.o.;1;0-24 h;;;1;Prikaûi na karti;159;5;Varaûdinska ûupanija;42230;Ludbreg;Trg Svetog Trojstva;7;;Trg Svetog Trojstva 7;Ludbreg, Trg Svetog Trojstva 7;7;2509415.17;5121846.18;1;Prikaûi na karti;;" 16∞ 37' 2""";" 46∞ 14' 60"""
21314;;160;10028;1;Bankomat;Luka (Vrbovec);Luka 375;1;U funkciji (radi);Euro - Petrol d.o.o.;1;0-24 h;;;1;Prikaûi na karti;160;1;ZagrebaËka ûupanija;10340;Luka (Vrbovec);Luka;375;;Luka 375;Luka (Vrbovec), Luka 375;375;2491222.02;5080358.09;1;Prikaûi na karti;;" 16∞ 22' 55""";" 45∞ 52' 36"""
21315;;161;43646;1;Bankomat;MaËe;MaËe bb;1;U funkciji (radi);BAMT d.o.o.;1;0-24 h;;;1;Prikaûi na karti;161;2;Krapinsko-zagorska ûupanija;49251;MaËe;MaËe;0;BB;MaËe bb;MaËe, MaËe BB;BB;2465080.58;5104489.85;1;Prikaûi na karti;;" 16∞ 2' 36""";" 46∞ 5' 34"""
21316;;162;10044;1;Bankomat;Makarska;GraËke skale 3c;1;U funkciji (radi);TISAK d.d.;1;0-24 h;;;1;Prikaûi na karti;162;17;Splitsko-dalmatinska ûupanija;21300;Makarska;GraËke skale;3;C;GraËke skale 3c;Makarska, GraËke skale 3/C;3/C;2543238.4;4793146.38;1;Prikaûi na karti;;" 17∞ 1' 41""";" 43∞ 17' 24"""
21034;10028;163;70863;1;Bankomat;Makarska;Jadranska 1a;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;163;17;Splitsko-dalmatinska ûupanija;21300;Makarska;Jadranska;1;A;Jadranska 1A;Makarska, Jadranska 1/A;1/A;1894440.76;5357043.27;1;Prikaûi na karti;;" 17∞ 1' 5""";" 43∞ 17' 43"""
22012;10214;163;;2;Dnevno-noÊni trezor;Makarska;Jadranska 1a;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;163;17;Splitsko-dalmatinska ûupanija;21300;Makarska;Jadranska;1;A;Jadranska 1A;Makarska, Jadranska 1/A;1/A;1894440.76;5357043.27;1;Prikaûi na karti;;" 17∞ 1' 5""";" 43∞ 17' 43"""
24019;10214;163;;4;Ureaj za zaprimanje naloga;Makarska;Jadranska 1a;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;163;17;Splitsko-dalmatinska ûupanija;21300;Makarska;Jadranska;1;A;Jadranska 1A;Makarska, Jadranska 1/A;1/A;1894440.76;5357043.27;1;Prikaûi na karti;;" 17∞ 1' 5""";" 43∞ 17' 43"""
21318;;165;50063;1;Bankomat;Makarska;äet. Dr. F. Tumana 1 ;1;U funkciji (radi);VINA d.o.o.;1;0-24 h;;;1;Prikaûi na karti;165;17;Splitsko-dalmatinska ûupanija;21300;Makarska;äet. Dr. F. Tumana;1;;äet. Dr. F. Tumana 1 ;Makarska, äet. Dr. F. Tumana 1;1;2542166.79;4793752.14;1;Prikaûi na karti;;" 17∞ 0' 54""";" 43∞ 17' 44"""
21035;10029;167;64463;1;Bankomat;Makarska;Tina UjeviÊa 1;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;167;17;Splitsko-dalmatinska ûupanija;21300;Makarska;Trg Tina UjeviÊa;1;;Trg Tina UjeviÊa 1;Makarska, Trg Tina UjeviÊa 1;1;2542545.66;4793641.79;1;Prikaûi na karti;;" 17∞ 1' 11""";" 43∞ 17' 40"""
21319;;168;88847;1;Bankomat;Mali Loöinj;BraÊe I. i S. ViduliÊa 25;1;U funkciji (radi);FINA;1;0-24 h;;;1;Prikaûi na karti;168;8;Primorsko-goranska ûupanija;51550;Mali Loöinj;BraÊe I. i S. ViduliÊa;25;;BraÊe I. i S. ViduliÊa 25;Mali Loöinj, BraÊe I. i S. ViduliÊa 25;25;2339177.51;4932835.39;1;Prikaûi na karti;;" 14∞ 28' 17""";" 44∞ 31' 51"""
21320;;169;53047;1;Bankomat;Malinska (Krk);Dubaöljanska 80;1;U funkciji (radi);Trgovina Krk;1;0-24 h;;;1;Prikaûi na karti;169;8;Primorsko-goranska ûupanija;51511;Malinska (Krk);Dubaöljanska;80;;Dubaöljanska 80;Malinska (Krk), Dubaöljanska 80;80;2345353;4998739;1;Prikaûi na karti;;" 14∞ 31' 44""";" 45∞ 7' 30"""
21322;;171;42645;1;Bankomat;MarËana;PaviÊini;1;U funkciji (radi);Miracolo TO;2;u radno vrijeme objekta;;;1;Prikaûi na karti;171;18;Istarska ûupanija;52206;MarËana;PaviÊini;0;;PaviÊini;MarËana, PaviÊini ;;2303206.89;4978198.51;1;Prikaûi na karti;;" 14∞ 0' 5""";" 44∞ 55' 47"""
21036;10030;172;80046;1;Bankomat;Marija Bistrica;Trg pape I. Pavla II br. 34;1;U funkciji (radi);ZABA poslovnica;1;0-24 h;;;1;Prikaûi na karti;172;2;Krapinsko-zagorska ûupanija;49246;Marija Bistrica;Trg pape Ivana Pavla II;34;;Trg pape Ivana Pavla II 34;Marija Bistrica, Trg pape Ivana Pavla II 34;34;2470889;5094611;1;Prikaûi na karti;;" 16∞ 7' 9""";" 46∞ 0' 15"""
21323;;173;64320;1;Bankomat;Maruöevec;Maruöevec 18;1;U funkciji (radi);TrgovaËki obrt Tea;1;0-24 h;;;1;Prikaûi na karti;173;5;Varaûdinska ûupanija;42243;Maruöevec;Maruöevec;18;;Maruöevec 18;Maruöevec, Maruöevec 18;18;2476100;5125332;1;Prikaûi na karti;;" 16∞ 11' 5""";" 46∞ 16' 51"""
21325;;175;57245;1;Bankomat;Medulin;AC Medulin;1;U funkciji (radi);Arena turist d.d. Pula;1;0-24 h;;;1;Prikaûi na karti;175;18;Istarska ûupanija;52203;Medulin;AC Medulin;0;;AC Medulin;Medulin, AC Medulin ;;2297259.89;4965409.79;1;Prikaûi na karti;;" 13∞ 55' 53""";" 44∞ 48' 47"""
21326;;176;57345;1;Bankomat;Medulin;Kaûela bb;1;U funkciji (radi);Kamp Kaûela;1;0-24 h;;;1;Prikaûi na karti;176;18;Istarska ûupanija;52203;Medulin;Kaûela;0;BB;Kaûela bb;Medulin, Kaûela BB;BB;2299120.07;4964772.78;1;Prikaûi na karti;;" 13∞ 57' 18""";" 44∞ 48' 29"""
21327;;177;99645;1;Bankomat;Medulin;Ulica SAD 116a;1;U funkciji (radi);PopoviÊ;1;0-24 h;;;1;Prikaûi na karti;177;18;Istarska ûupanija;52203;Medulin;Ulica SAD;116;A;Ulica SAD 116a;Medulin, Ulica SAD 116/A;116/A;2297536.52;4965853.35;1;Prikaûi na karti;;" 13∞ 56' 5""";" 44∞ 49' 2"""
21329;;179;10067;1;Bankomat;Mihovljan;Mihovljan 48 d;1;U funkciji (radi);»ehuliÊ d.o.o.;1;0-24 h;;;1;Prikaûi na karti;179;2;Krapinsko-zagorska ûupanija;49252;Mihovljan;Mihovljan;48;D;Mihovljan 48 d;Mihovljan, Mihovljan 48/D;48/D;2459482.81;5109084.62;1;Prikaûi na karti;;" 15∞ 58' 14""";" 46∞ 8' 2"""
21330;;180;49763;1;Bankomat;Milna;Milna bb;1;U funkciji (radi);T - com;1;0-24 h;;;1;Prikaûi na karti;180;17;Splitsko-dalmatinska ûupanija;21405;Milna;Milna;0;BB;Milna bb;Milna, Milna BB;BB;2496215;4797161;1;Prikaûi na karti;;" 16∞ 26' 55""";" 43∞ 19' 39"""
21331;;181;72510;1;Bankomat;Mursko SrediöÊe;Josipa Broza-Tita 4;1;U funkciji (radi);Ninaj d.o.o.;1;0-24 h;;;1;Prikaûi na karti;181;20;Meimurska ûupanija;40315;Mursko SrediöÊe;Josipa Broza Tita;4;;Josipa Broza-Tita 4;Mursko SrediöÊe, Josipa Broza Tita 4;4;2495737;5151087;1;Prikaûi na karti;;" 16∞ 26' 22""";" 46∞ 30' 47"""
21333;;183;84451;1;Bankomat;Murter;Marina Hramina;1;U funkciji (radi);ACI, Marina Hramina;2;u radno vrijeme objekta;;;1;Prikaûi na karti;183;15;äibensko-kninska ûupanija;22243;Murter;Marina Hramina;0;;Marina Hramina;Murter, Marina Hramina ;;2427516.73;4853056.19;1;Prikaûi na karti;;" 15∞ 35' 38""";" 43∞ 49' 37"""
21037;10032;184;37442;1;Bankomat;Naöice;Vinogradska 6;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;184;14;OsjeËko-baranjska ûupanija;34500;Naöice;Vinogradska;6;;Vinogradska 6;Naöice, Vinogradska 6;6;2624978.23;5038564.79;1;Prikaûi na karti;;" 18∞ 5' 39""";" 45∞ 29' 22"""
24020;10032;184;;4;Ureaj za zaprimanje naloga;Naöice;Vinogradska 6;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;184;14;OsjeËko-baranjska ûupanija;34500;Naöice;Vinogradska;6;;Vinogradska 6;Naöice, Vinogradska 6;6;2624978.23;5038564.79;1;Prikaûi na karti;;" 18∞ 5' 39""";" 45∞ 29' 22"""
21334;;185;45320;1;Bankomat;NedeliöÊe;»akoveËka 1;1;U funkciji (radi);Poslovni prostor;1;0-24 h;;;1;Prikaûi na karti;185;20;Meimurska ûupanija;40305;NedeliöÊe;»akoveËka;1;;»akoveËka 1;NedeliöÊe, »akoveËka 1;1;2491122;5135866;1;Prikaûi na karti;;" 16∞ 22' 46""";" 46∞ 22' 34"""
21336;;187;68542;1;Bankomat;Nova Gradiöka;M. BenkoviÊa 34;1;U funkciji (radi);Kaufland Hrvatska k.d.;2;u radno vrijeme objekta;;;1;Prikaûi na karti;187;12;Brodsko-posavska ûupanija;35400;Nova Gradiöka;M. BenkoviÊa;34;;M. BenkoviÊa 34;Nova Gradiöka, M. BenkoviÊa 34;34;2569849.27;5011468.59;1;Prikaûi na karti;;" 17∞ 23' 7""";" 45∞ 15' 11"""
21038;10033;188;94242;1;Bankomat;Nova Gradiöka;Trg kralja Tomislava 13;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;188;12;Brodsko-posavska ûupanija;35400;Nova Gradiöka;Trg kralja Tomislava;13;;Trg kralja Tomislava 13;Nova Gradiöka, Trg kralja Tomislava 13;13;1934763.25;5662517.5;1;Prikaûi na karti;;" 17∞ 22' 49""";" 45∞ 15' 35"""
21039;10033;188;81842;1;Bankomat;Nova Gradiöka;Trg kralja Tomislava 13;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;188;12;Brodsko-posavska ûupanija;35400;Nova Gradiöka;Trg kralja Tomislava;13;;Trg kralja Tomislava 13;Nova Gradiöka, Trg kralja Tomislava 13;13;1934763.25;5662517.5;1;Prikaûi na karti;;" 17∞ 22' 49""";" 45∞ 15' 35"""
24021;10033;188;;4;Ureaj za zaprimanje naloga;Nova Gradiöka;Trg kralja Tomislava 13;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;188;12;Brodsko-posavska ûupanija;35400;Nova Gradiöka;Trg kralja Tomislava;13;;Trg kralja Tomislava 13;Nova Gradiöka, Trg kralja Tomislava 13;13;1934763.25;5662517.5;1;Prikaûi na karti;;" 17∞ 22' 49""";" 45∞ 15' 35"""
22013;10033;188;;2;Dnevno-noÊni trezor;Nova Gradiöka;Trg kralja Tomislava 13;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;188;12;Brodsko-posavska ûupanija;35400;Nova Gradiöka;Trg kralja Tomislava;13;;Trg kralja Tomislava 13;Nova Gradiöka, Trg kralja Tomislava 13;13;1934763.25;5662517.5;1;Prikaûi na karti;;" 17∞ 22' 49""";" 45∞ 15' 35"""
25151;10033;188;10170;1;Bankomat;;Trg kralja Tomislava 13;1;U funkciji (radi);ZABA poslovnica;2;u radno vrijeme objekta;;;1;Prikaûi na karti;188;12;Brodsko-posavska ûupanija;35400;Nova Gradiöka;Trg kralja Tomislava;13;;Trg kralja Tomislava 13;Nova Gradiöka, Trg kralja Tomislava 13;13;1934763.25;5662517.5;1;Prikaûi na karti;;" 17∞ 22' 49""";" 45∞ 15' 35"""
21338;;190;35247;1;Bankomat;Novalja;BraÊe RadiÊa 8;1;U funkciji (radi);Sunshine d.o.o.;1;0-24 h;;;1;Prikaûi na karti;190;9;LiËko-senjska ûupanija;53291;Novalja;BraÊe RadiÊa;8;;BraÊe RadiÊa 8;Novalja, BraÊe RadiÊa 8;8;2371959.49;4934961.56;1;Prikaûi na karti;;" 14∞ 52' 59""";" 44∞ 33' 24"""
21339;;191;33610;1;Bankomat;Novalja;Josipa Kunkere 8;1;U funkciji (radi);Robna kuÊa NOVALIS;2;u radno vrijeme objekta;;;1;Prikaûi na karti;191;9;LiËko-senjska ûupanija;53291;Novalja;Josipa Kunkere;8;;Josipa Kunkere 8;Novalja, Josipa Kunkere 8;8;2372958.45;4933926.25;1;Prikaûi na karti;;" 14∞ 53' 45""";" 44∞ 32' 51"""
21341;;193;10118;1;Bankomat;Novi Golubovec;Novi Golubovec 34b;1;U funkciji (radi);OpÊina Novi Golubovec;1;0-24 h;;;1;Prikaûi na karti;193;2;Krapinsko-zagorska ûupanija;49255;Novi Golubovec;Novi Golubovec;34;B;Novi Golubovec 34b;Novi Golubovec, Novi Golubovec 34/B;34/B;2460501.17;5113611.96;1;Prikaûi na karti;;" 15∞ 59' 0""";" 46∞ 10' 29"""
21040;10034;194;44520;1;Bankomat;Novi Marof;Trg Hrvatske drûavnosti 1;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;194;5;Varaûdinska ûupanija;42220;Novi Marof;Trg Hrvatske drûavnosti;1;;Trg Hrvatske drûavnosti 1;Novi Marof, Trg Hrvatske drûavnosti 1;1;1818368.63;5807105;1;Prikaûi na karti;;" 16∞ 20' 5""";" 46∞ 10' 0"""
22014;10034;194;;2;Dnevno-noÊni trezor;Novi Marof;Trg hrvatske drûavnosti 1;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;194;5;Varaûdinska ûupanija;42220;Novi Marof;Trg Hrvatske drûavnosti;1;;Trg Hrvatske drûavnosti 1;Novi Marof, Trg Hrvatske drûavnosti 1;1;1818368.63;5807105;1;Prikaûi na karti;;" 16∞ 20' 5""";" 46∞ 10' 0"""
24022;10034;194;;4;Ureaj za zaprimanje naloga;Novi Marof;Trg hrvatske drûavnosti 1;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;194;5;Varaûdinska ûupanija;42220;Novi Marof;Trg Hrvatske drûavnosti;1;;Trg Hrvatske drûavnosti 1;Novi Marof, Trg Hrvatske drûavnosti 1;1;1818368.63;5807105;1;Prikaûi na karti;;" 16∞ 20' 5""";" 46∞ 10' 0"""
21342;;195;61020;1;Bankomat;Novi Marof;Varaûdinska 59;1;U funkciji (radi);Trgonom d.o.o.;1;0-24 h;;;1;Prikaûi na karti;195;5;Varaûdinska ûupanija;42220;Novi Marof;Varaûdinska;59;;Varaûdinska 59;Novi Marof, Varaûdinska 59;59;2487977.29;5113835.62;1;Prikaûi na karti;;" 16∞ 20' 21""";" 46∞ 10' 40"""
21343;;196;46520;1;Bankomat;Novi Marof;ZagrebaËka bb;1;U funkciji (radi);AP Novi Marof ;1;0-24 h;;;1;Prikaûi na karti;196;5;Varaûdinska ûupanija;42220;Novi Marof;ZagrebaËka;0;BB;ZagrebaËka bb;Novi Marof, ZagrebaËka BB;BB;2487663.46;5112490.32;1;Prikaûi na karti;;" 16∞ 20' 7""";" 46∞ 9' 56"""
21344;;197;85147;1;Bankomat;Novi Vinodolski;Korzo Hrvatskih branjtelja 50a;1;U funkciji (radi);MARIS TRADE;1;0-24 h;;;1;Prikaûi na karti;197;8;Primorsko-goranska ûupanija;51250;Novi Vinodolski;Hrvatskih branitelja;50;A;Korzo Hrvatskih branjtelja 50a;Novi Vinodolski, Hrvatskih branitelja 50/A;50/A;2366338.77;4998184.76;1;Prikaûi na karti;;" 14∞ 47' 44""";" 45∞ 7' 28"""
21346;;199;89761;1;Bankomat;Novigrad;Ulica gradskih vrata 21a;1;U funkciji (radi);KONZUM d.d.;1;0-24 h;;;1;Prikaûi na karti;199;18;Istarska ûupanija;52466;Novigrad;Ulica gradskih vrata;21;A;Ulica gradskih vrata 21a;Novigrad, Ulica gradskih vrata 21/A;21/A;2270078;5022224;1;Prikaûi na karti;;" 13∞ 33' 43""";" 45∞ 18' 56"""
21347;;200;62142;1;Bankomat;Novska;ZagrebaËka 19;1;U funkciji (radi);Presoflex ;1;0-24 h;;;1;Prikaûi na karti;200;3;SisaËko-moslavaËka ûupanija;44330;Novska;ZagrebaËka;19;;ZagrebaËka 19;Novska, ZagrebaËka 19;19;2537887;5020844;1;Prikaûi na karti;;" 16∞ 58' 43""";" 45∞ 20' 24"""
21348;;201;10071;1;Bankomat;Ogulin;P. PreradoviÊa 8 ;1;U funkciji (radi);BILLA d.o.o.;1;0-24 h;;;1;Prikaûi na karti;201;4;KarlovaËka ûupanija;47300;Ogulin;P. PreradoviÊa;8;;P. PreradoviÊa 8 ;Ogulin, P. PreradoviÊa 8;8;2400652.92;5013245.78;1;Prikaûi na karti;;" 15∞ 13' 44""";" 45∞ 15' 56"""
21041;10035;202;55742;1;Bankomat;OkuËani;Ante StarËeviÊa 3;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;202;12;Brodsko-posavska ûupanija;35430;OkuËani;Ante StarËeviÊa;3;;Ante StarËeviÊa 3;OkuËani, Ante StarËeviÊa 3;3;2555269;5012091;1;Prikaûi na karti;;" 17∞ 11' 58""";" 45∞ 15' 36"""
21349;;203;92363;1;Bankomat;Omiö;Foöal bb;1;U funkciji (radi);KONZUM d.d.;1;0-24 h;;;1;Prikaûi na karti;203;17;Splitsko-dalmatinska ûupanija;21310;Omiö;Foöal;0;BB;Foöal bb;Omiö, Foöal BB;BB;2515898.05;4810162.2;1;Prikaûi na karti;;" 16∞ 41' 30""";" 43∞ 26' 39"""
21042;10036;204;34915;1;Bankomat;Omiö;Vrilo bb ;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;204;17;Splitsko-dalmatinska ûupanija;21310;Omiö;Vrilo;0;BB;Vrilo BB;Omiö, Vrilo BB;BB;2515442.67;4810195.93;1;Prikaûi na karti;;" 16∞ 41' 10""";" 43∞ 26' 41"""
21353;;208;38347;1;Bankomat;Opatija;M.Tita 189;1;U funkciji (radi);TISAK;1;0-24 h;;;1;Prikaûi na karti;208;8;Primorsko-goranska ûupanija;51410;Opatija;Maröala Tita;189;;M.Tita 189;Opatija, Maröala Tita 189;189;2328455.3;5022434.12;1;Prikaûi na karti;;" 14∞ 18' 22""";" 45∞ 20' 3"""
21354;;209;99947;1;Bankomat;Opatija;Nova cesta 68;1;U funkciji (radi);BILLA d.o.o.;1;0-24 h;;;1;Prikaûi na karti;209;8;Primorsko-goranska ûupanija;51410;Opatija;Nova cesta;68;;Nova cesta 68;Opatija, Nova cesta 68;68;2328857.85;5023467.35;1;Prikaûi na karti;;" 14∞ 18' 39""";" 45∞ 20' 37"""
21043;10037;210;74947;1;Bankomat;Opatija;Ul. M. Tita 69/2;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;210;8;Primorsko-goranska ûupanija;51410;Opatija;Maröala Tita;69;II;Maröala Tita 69II;Opatija, Maröala Tita 69/II;69/II;2328763.8;5022980.2;1;Prikaûi na karti;;" 14∞ 18' 35""";" 45∞ 20' 21"""
24023;10217;210;;4;Ureaj za zaprimanje naloga;Opatija;Ul. M. Tita 69/2;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;210;8;Primorsko-goranska ûupanija;51410;Opatija;Maröala Tita;69;II;Maröala Tita 69II;Opatija, Maröala Tita 69/II;69/II;2328763.8;5022980.2;1;Prikaûi na karti;;" 14∞ 18' 35""";" 45∞ 20' 21"""
22015;10217;210;;2;Dnevno-noÊni trezor;Opatija;Ul. M. Tita 69/2;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;210;8;Primorsko-goranska ûupanija;51410;Opatija;Maröala Tita;69;II;Maröala Tita 69II;Opatija, Maröala Tita 69/II;69/II;2328763.8;5022980.2;1;Prikaûi na karti;;" 14∞ 18' 35""";" 45∞ 20' 21"""
21356;;212;60842;1;Bankomat;Orahovica;Kralja Zvonimira 167;1;U funkciji (radi);BILLA d.o.o.;1;0-24 h;;;1;Prikaûi na karti;212;10;VirovitiËko-podravska ûupanija;33515;Orahovica;Kralja Zvonimira;167;;Kralja Zvonimira 167;Orahovica, Kralja Zvonimira 167;167;2609150.4;5043920.78;1;Prikaûi na karti;;" 17∞ 53' 35""";" 45∞ 32' 25"""
21357;;213;10108;1;Bankomat;OrebiÊ;StankoviÊi bb;1;U funkciji (radi);KONZUM d.d.;1;0-24 h;;;1;Prikaûi na karti;213;19;DubrovaËko-neretvanska ûupanija;20250;OrebiÊ;StankoviÊi;0;BB;StankoviÊi bb;OrebiÊ, StankoviÊi BB;BB;2556990.19;4759054.73;1;Prikaûi na karti;;" 17∞ 11' 39""";" 42∞ 58' 56"""
21044;10038;214;99346;1;Bankomat;Oroslavje;Oro trg 1;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;214;2;Krapinsko-zagorska ûupanija;49243;Oroslavje;Oro trg;1;;Oro trg 1;Oroslavje, Oro trg 1;1;2455041;5093834;1;Prikaûi na karti;;" 15∞ 54' 52""";" 45∞ 59' 47"""
21048;10042;215;66840;1;Bankomat;Osijek;Trg Slobode 4;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;215;14;OsjeËko-baranjska ûupanija;31000;Osijek;Trg Slobode;4;;Trg Slobode 4;Osijek, Trg Slobode 4;4;2079302.81;5710055.71;1;Prikaûi na karti;;" 18∞ 40' 43""";" 45∞ 33' 35"""
21049;10042;215;93240;1;Bankomat;Osijek;Trg Slobode 4;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;215;14;OsjeËko-baranjska ûupanija;31000;Osijek;Trg Slobode;4;;Trg Slobode 4;Osijek, Trg Slobode 4;4;2079302.81;5710055.71;1;Prikaûi na karti;;" 18∞ 40' 43""";" 45∞ 33' 35"""
24025;10042;215;;4;Ureaj za zaprimanje naloga;Osijek;Trg Slobode 4;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;215;14;OsjeËko-baranjska ûupanija;31000;Osijek;Trg Slobode;4;;Trg Slobode 4;Osijek, Trg Slobode 4;4;2079302.81;5710055.71;1;Prikaûi na karti;;" 18∞ 40' 43""";" 45∞ 33' 35"""
22017;10042;215;;2;Dnevno-noÊni trezor;Osijek;Trg Slobode 4;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;215;14;OsjeËko-baranjska ûupanija;31000;Osijek;Trg Slobode;4;;Trg Slobode 4;Osijek, Trg Slobode 4;4;2079302.81;5710055.71;1;Prikaûi na karti;;" 18∞ 40' 43""";" 45∞ 33' 35"""
24024;10040;216;;4;Ureaj za zaprimanje naloga;Osijek;Ribarska 4-6;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;216;14;OsjeËko-baranjska ûupanija;31000;Osijek;Ribarska;4;;Ribarska 4;Osijek, Ribarska 4;4;2670284.7;5047750.08;1;Prikaûi na karti;;" 18∞ 40' 37""";" 45∞ 33' 45"""
22016;10040;216;;2;Dnevno-noÊni trezor;Osijek;Ribarska 4-6;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;216;14;OsjeËko-baranjska ûupanija;31000;Osijek;Ribarska;4;;Ribarska 4;Osijek, Ribarska 4;4;2670284.7;5047750.08;1;Prikaûi na karti;;" 18∞ 40' 37""";" 45∞ 33' 45"""
21046;10040;216;71440;1;Bankomat;Osijek;Ribarska 4-6;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;216;14;OsjeËko-baranjska ûupanija;31000;Osijek;Ribarska;4;;Ribarska 4;Osijek, Ribarska 4;4;2670284.7;5047750.08;1;Prikaûi na karti;;" 18∞ 40' 37""";" 45∞ 33' 45"""
