RBR,Adresa1,Bankomat se nalazi u poslovnici,Grad,Latituda,Longituda
173,Glavna 82,0,Kneževi Vinogradi,45.750883,18.734854
174,Braće Radić 4,0,Antunovac,45.497579,18.739843
175,Autobusni kolodvor-F.Cirakija 7,0,Požega,45.337516,17.681884
176,Sv. Florijana 10,1,Požega,45.333485,17.677238
177,Osječka 12 - Konzum,0,Požega,45.335043,17.694426
178,Kralja Tomislava 20,0,Našice,45.489336,18.087895
179,Trg Franje Tuđmana 12,1,Našice,45.490699,18.092935
180,Trg Franje Tuđmana 12,1,Našice,45.490699,18.092935
181,Kolodvorska 26,0,Donji Miholjac,45.754559,18.165636
182,Trg A.Starčevića 8,1,Donji Miholjac,45.759664,18.161216
183,Supernova; Osječka 284,0,Slavonski Brod,45.169,18.007402
184,Stjepana pl Horvata bb,0,Slavonski Brod,45.171358,18.038542
185,Oriovac; Trg hrvatskog preporoda 6,0,Oriovac,45.165685,17.756277
186,Kralja Petra Krešimira IV 3,1,Slavonski Brod,45.162099,17.990799
187,Josipa Rimca 7 - TC City Colosseum,0,Slavonski Brod,45.159519,17.996709
188,naselje Andrije Hebranga;blok 5 ulaz 26,0,Slavonski Brod,45.157121,18.032758
189,Trg kralja Tomislava 3,0,Nova Gradiška,45.259241,17.379556
190,Blage Zadre 2,0,Borovo Naselje,45.375031,18.95339
191,Konzum - 12 redarstvenika bb,0,Borovo Naselje,45.384074,18.95618
192,Glavna 3,0,Borovo Naselje,45.40233,18.978683
193,Trg bana Jelačića 7,0,Ivankovo,45.288777,18.684311
194,Vladimira nazora 1,0,Otok,45.146725,18.883674
195,Duga ulica 40,1,Vinkovci,45.291222,18.806105
196,Glagoljaška 15a,0,Vinkovci,45.289958,18.8156
197,Trg kralja Tomislava 11a,1,Valpovo,45.658733,18.415784
198,Ivana Šveara 1,1,Pleternica,45.288041,17.800695
199,Josipa Kozarca 105,1,Višnjevac,45.564334,18.627405
200,Ferde Rusana 1,1,Virovitica,45.835258,17.387066
201,Trg Sv. Josipa 2,1,Slatina,45.702043,17.700777
202,Gajeva 22,0,Pitomača,45.952507,17.234094
203,Kralja Zvonimira 5,1,Orahovica,45.532327,17.881891
204,Veliki kraj 64,1,Županja,45.071914,18.695812
205,Veliki kraj 64,1,Županja,45.071914,18.695812
206,Kralja Zvonimira 1,1,Beli Manastir,45.767448,18.605583
207,F.Tuđmana 4,1,Vukovar,45.347591,18.999867
208,Mitnica,0,Vukovar,45.342041,19.015081
209,N. Šubića Zrinskog 1,0,Koška,45.54411,18.285649
210,Otok Ugljan; mini market Julija,0,Preko,44.081755,15.186952
211,Zrinskih bb. Trgovački centar Betex,0,Prelog,46.329624,16.611371
212,Marina Dalmacija,0,Bibinje / Sukošan,44.055672,15.304234
213,Mihovila Krušlina 22,1,Zaprešić,45.860398,15.800014
214,Zaprešička 1 - TC West Gate,0,Zaprešić,45.871605,15.826557
215,Hoteli Punta Skala-Falkensteiner,0,Petrčane,44.193628,15.146509
216,Trg Hrvatskih velikana bb,0,Biograd,43.937473,15.443878
217,Obala Juričev Ive Cota 19,0,Vodice,43.758336,15.776362
218,Kralja Tomislava 19,0,Malinska,45.122459,14.526459
219,Fabrika 5,0,Hvar,43.172948,16.441469
220,Alberi 300,0,Savudrija,45.500455,13.50378
221,Kolodvorska 10a,0,Dugo Selo,45.80517,16.233244
222,Zagrebačka bb.-Konzum,0,Vrbovec,45.885492,16.4191
223,Ulica kralja Tomislava 1,0,Knin,44.040334,16.195704
224,Otok Brač; Porat 1,0,Supetar (otok Brač),43.387218,16.547374
225,Kralja Zvonimira 87b,1,Solin,43.536721,16.49036
226,I. G. Kovačića 4,0,Ogulin,45.266279,15.224004
227,Obala kralja Tomislava 15,0,Kaštel Stari,43.553236,16.346826
228,Trg žrtava Domovinskog rata 8,0,Gunja,44.886495,18.824551
229,Bana Jelačića 25,0,Ludbreg,46.253762,16.615089
230,Obala neretvanskih gusara 4,0,Ploče,43.050479,17.433141
231,Trg Dr. F. Tuđmana 1,0,Èačinci,45.600148,17.87339
232,Od Izvora 64,0,Mokošica,42.678839,18.095684
233,Obala 3  21,0,Vela Luka,42.96352,16.716213
234,Trg matice Hrvatske 5,0,Imotski,43.448214,17.215447
235,Trg Braće Radića 24,0,Aljmaš,45.528479,18.947811
236,Franje Tuđmana 4 - Konzum,0,Ilok,45.223735,19.368296
237,Trg maršala Tita 3,0,Matulji,45.363861,14.32394
238,Gospodarska 5 - TC Emmezeta,0,Zagreb,45.748151,15.883484
239,Brajdine 115,0,Medulin,44.819518,13.93326
240,Toplička 80 - Hotel Terme Jezerčica,0,Donja Stubica,45.984797,15.963478
241,Matije Gupca 78,0,Zabok,46.028972,15.909748
242,Ulica grada Lipika 15 - TC Lumini,0,Donji Kneginec,46.258636,16.382332
243,Kralja Tomislava 7,0,Cerna,45.191232,18.687744
244,Vijenac S. H. Gutmmana b.b.,0,Belišće,45.683398,18.403473
245,Trg Šime Vlašića 3 - hotel Borovnik,0,Tisno,43.798831,15.641504
246,Splitska 37,1,Sinj,43.698696,16.64004
247,Grljevačka 2a - Hotel Lav; Podstrana,0,Split,43.492236,16.538246
248,Grljevačka 30 - Hotel San Antonio; Podstrana,0,Podstrana,43.485583,16.54955
249,Njivice; Placa bb.,0,Njivice,45.164323,14.541655
250,Trg Male Gospe 1,0,Skradin,43.817847,15.923469
251,Jablanska 17,0,Zagreb,45.798439,15.913628
252,Kralja Zvonimira 40,0,Šibenik,43.740181,15.89111
253,Ulica grada Vukovara  41,0,Zagreb,45.800421,15.97295
254,Meštrovićev trg 22,0,Zagreb,45.779175,15.996693
255,Božidara Magovca 55,0,Zagreb,45.771055,15.994377
256,Rudeška cesta 169a,1,Zagreb,45.791474,15.91377
257,Savska 101a,0,Zagreb,45.795242,15.959728
258,Zinke Kunc 3a,0,Zagreb,45.79241,16.000426
259,Kučište bb.,0,Orebić,42.98054,17.123909
260,Ante Starčevića 5,1,Ðakovo,45.311299,18.41021
261,Vršanska bb. - TC Plodine,0,Krk,45.034123,14.565294
262,Zagrebačka b.b. - TC Plodine,0,Petrinja,45.441264,16.267817
263,Zadarska ulica 4,0,Nin,44.239788,15.181046
264,Vajdin vijenac 18,0,Zagreb,45.766108,15.993024
265,Utinjska 9 - pekarnica Rusica,0,Sveta Klara,45.765442,15.962006
266,Trg bana Josipa Jelačića 6,0,Ðurđenovac,45.541172,18.051089
267,Ante Starčevića 2,1,Rijeka,45.32615,14.445369
