,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH PK,BRANCH ID2,LOCATION FK,ORG ID,B TYPE,B NAME,B STATUS,REGION NAME,PHONE,REMARK,WEB LABEL,WEB NOTE,WEB STATUS,COUNTY ID,COUNTY NAME,OLS PLACE ID,OLS PLACE NAME,PLACE ZIP,PLACE NAME,STREET NAME,HOUSE N,HOUSE SUBN,X,Y,LONG,LAT
10208,10017,97,16424,2,"Ivanić-grad, Trg V. Nazora 7",1,Regija Središnja Hrvatska,,,Pravne,,1,1,Zagrebačka županija,2726,Ivanić-Grad,10310,Ivanić-Grad,Trg V. Nazora,7,,1824965.75,5733012.5," 16° 23' 38"""," 45° 42' 14"""
10209,10018,101,16317,2,Braće Kazić 7,1,Regija Zapadna Hrvatska,,,Pravne,"Ljetno radno vrijeme
(18.07-20.08.2011)",1,1,Zagrebačka županija,2805,Jastrebarsko,10450,Jastrebarsko,Braće Kazića,7,,1742404,5728111," 15° 39' 8"""," 45° 40' 23"""
10018,10209,101,16313,1,Braće Kazić 7,1,Zagreb - prsten,01/ 6065-000,,Građani Zagreb,,1,1,Zagrebačka županija,2805,Jastrebarsko,10450,Jastrebarsko,Braće Kazića,7,,1742404,5728111," 15° 39' 8"""," 45° 40' 23"""
10019,10210,108,16319,1,Ulica Stjepana Radića 5,1,Karlovačka županija,047/ 843-103,,Građani Županije,,1,4,Karlovačka županija,2897,Karlovac,47000,Karlovac,Stjepana Radića,5,,1731493.88,5699477.5," 15° 33' 15"""," 45° 29' 35"""
10210,10019,108,16321,2,Ulica Stjepana Radića 5,1,Regija Zapadna Hrvatska,,,Pravne,,1,4,Karlovačka županija,2897,Karlovac,47000,Karlovac,Stjepana Radića,5,,1731493.88,5699477.5," 15° 33' 15"""," 45° 29' 35"""
10020,,115,14602,1,Lijepe naše 37,1,Krapinsko- zagorska županija,049/ 329-656,,Građani Županije,,1,2,Krapinsko-zagorska županija,3046,Klanjec,49290,Klanjec,Lijepe Naše,37,,2441704.87,5099880.59," 15° 44' 30"""," 46° 2' 59"""
10021,,121,16322,1,Drage Božića 1,1,Krapinsko- zagorska županija,049/ 329-625,,Građani Županije,,1,2,Krapinsko-zagorska županija,3154,Konjščina,49282,Konjščina,Drage Božića,1,,2475482.2,5099961.77," 16° 10' 41"""," 46° 3' 9"""
10022,,124,14622,1,Ivana Meštrovića bb,1,Koprivničko- križevačka županija,048/ 240-900,,Građani Županije,,1,6,Koprivničko-križevačka županija,3159,Koprivnica,48000,Koprivnica,Ivana Meštrovića,0,BB,1872490.25,5806683.5," 16° 49' 15"""," 46° 9' 51"""
10211,,126,14631,2,Trg Slobode 6,1,Regija Središnja Hrvatska,,,Pravne,,1,6,Koprivničko-križevačka županija,3159,Koprivnica,48000,Koprivnica,Trg Slobode,6,,2525265.56,5112431.55," 16° 49' 20"""," 46° 9' 53"""
10212,10023,132,14627,2,Gajeva 31,1,Regija Zapadna Hrvatska,,,Pravne,,1,2,Krapinsko-zagorska županija,3257,Krapina,49000,Krapina,Gajeva,31,,1767063.25,5806377.5," 15° 52' 26"""," 46° 9' 44"""
10023,10212,132,14614,1,Gajeva 31,1,Krapinsko- zagorska županija,049/ 329-900,,Građani Županije,,1,2,Krapinsko-zagorska županija,3257,Krapina,49000,Krapina,Gajeva,31,,1767063.25,5806377.5," 15° 52' 26"""," 46° 9' 44"""
10024,,134,16324,1,Antuna Mihanovića 3,1,Krapinsko- zagorska županija,049/ 329-551,,Građani Županije,,1,2,Krapinsko-zagorska županija,3260,Krapinske Toplice,49217,Krapinske toplice,Antuna Mihanovića,3,,2449184.52,5104646.13," 15° 50' 16"""," 46° 5' 36"""
10025,10213,141,14621,1,Trg A. Nemčića 2,1,Koprivničko- križevačka županija,048/ 240-867,,Građani Županije,,1,6,Koprivničko-križevačka županija,3313,Križevci,48260,Križevci,Trg A. Nemčića,2,,1841788.13,5784318," 16° 32' 42"""," 46° 1' 29"""
10213,10025,141,14630,2,Trg A. Nemčića 2,1,Regija Središnja Hrvatska,,,Pravne,,1,6,Koprivničko-križevačka županija,3313,Križevci,48260,Križevci,Trg A. Nemčića,2,,1841788.13,5784318," 16° 32' 42"""," 46° 1' 29"""
10026,,152,15811,1,Trg kralja Tomislava 1,1,Varaždinska županija,042/ 314-678,,Građani Županije,,1,5,Varaždinska županija,941,Lepoglava,42250,Lepoglava,Trg kralja Tomislava,1,,2465919.74,5117505.08," 16° 3' 12"""," 46° 12' 36"""
10027,,158,15807,1,Trg Sv. Trojstva 20,1,Varaždinska županija,042/ 314-806,,Građani Županije,,1,5,Varaždinska županija,3535,Ludbreg,42230,Ludbreg,Trg Svetog Trojstva,20,,1849972.38,5820550.5," 16° 37' 7"""," 46° 15' 1"""
10028,10214,163,15622,1,Jadranska 1a,1,Splitsko- dalmatinska županija,021-350-450,,Građani Županije,,1,17,Splitsko-dalmatinska županija,3681,Makarska,21300,Makarska,Jadranska,1,A,1894440.76,5357043.27," 17° 1' 5"""," 43° 17' 43"""
10214,10028,163,15611,2,Jadranska 1a,1,Regija Dalmacija Jug,,,Pravne,,1,17,Splitsko-dalmatinska županija,3681,Makarska,21300,Makarska,Jadranska,1,A,1894440.76,5357043.27," 17° 1' 5"""," 43° 17' 43"""
10029,,167,15613,1,Trg Tina Ujevića 1,1,Splitsko- dalmatinska županija,021-350-475,,Građani Županije,,1,17,Splitsko-dalmatinska županija,3681,Makarska,21300,Makarska,Trg Tina Ujevića,1,,2542545.66,4793641.79," 17° 1' 11"""," 43° 17' 40"""
10030,,172,14623,1,Trg pape Ivana Pavla II br. 34,1,Krapinsko- zagorska županija,049/ 329-751,,Građani Županije,,1,2,Krapinsko-zagorska županija,3805,Marija Bistrica,49246,Marija Bistrica,Trg pape Ivana Pavla II,34,,2470889,5094611," 16° 7' 9"""," 46° 0' 15"""
10031,10215,178,15619,1,Splitska 1,1,Dubrovačko- neretvanska županija,020/ 690-966,,Građani Županije,,1,19,Dubrovačko-neretvanska županija,3883,Metković,20350,Metković,Splitska,1,,1964354.41,5320230.28," 17° 38' 46"""," 43° 3' 15"""
10215,10031,178,15620,2,Splitska 1,1,Regija Dalmacija Jug,,,Pravne,,1,19,Dubrovačko-neretvanska županija,3883,Metković,20350,Metković,Splitska,1,,1964354.41,5320230.28," 17° 38' 46"""," 43° 3' 15"""
10032,,184,14905,1,Vinogradska 6,1,Osječko- baranjska županija,031/ 252-454,,Građani Županije,,1,14,Osječko-baranjska županija,4100,Našice,34500,Našice,Vinogradska,6,,2624978.23,5038564.79," 18° 5' 39"""," 45° 29' 22"""
10033,10216,188,14909,1,Trg kralja Tomislava 13,1,Brodsko- posavska županija,035/ 435-661,,Građani Županije,,1,12,Brodsko-posavska županija,4138,Nova Gradiška,35400,Nova Gradiška,Trg kralja Tomislava,13,,1934763.25,5662517.5," 17° 22' 49"""," 45° 15' 35"""
10216,10033,188,14917,2,Trg kralja Tomislava 13,1,Regija Slavonija,,,Pravne,,1,12,Brodsko-posavska županija,4138,Nova Gradiška,35400,Nova Gradiška,Trg kralja Tomislava,13,,1934763.25,5662517.5," 17° 22' 49"""," 45° 15' 35"""
10034,,194,15812,1,Trg hrvatske državnosti 1,1,Varaždinska županija,042/ 314-731,,Građani Županije,,1,5,Varaždinska županija,4181,Novi Marof,42220,Novi Marof,Trg Hrvatske državnosti,1,,1818368.63,5807105," 16° 20' 5"""," 46° 10' 0"""
10035,,202,14907,1,Ante Starčevića 3,1,Brodsko- posavska županija,035/ 435-692,,Građani Županije,,1,12,Brodsko-posavska županija,4273,Okučani,35430,Okučani,Ante Starčevića,3,,2555269,5012091," 17° 11' 58"""," 45° 15' 36"""
10036,,204,15614,1,Vrilo bb,1,Splitsko- dalmatinska županija,021/350-485,,Građani Županije,,1,17,Splitsko-dalmatinska županija,481,Omiš,21310,Omiš,Vrilo,0,BB,2515442.67,4810195.93," 16° 41' 10"""," 43° 26' 41"""
10037,10217,210,14704,1,Ulica Maršala Tita 69/II,1,Primorsko- goranska županija,051/ 353-961,,Građani Županije,,1,8,Primorsko-goranska županija,488,Opatija,51410,Opatija,Maršala Tita,69,II,2328763.8,5022980.2," 14° 18' 35"""," 45° 20' 21"""
10217,10037,210,14718,2,Ulica Maršala Tita 69/II,1,Regija Kvarner,,,Pravne,,1,8,Primorsko-goranska županija,488,Opatija,51410,Opatija,Maršala Tita,69,II,2328763.8,5022980.2," 14° 18' 35"""," 45° 20' 21"""
10038,,214,14625,1,Oro trg 1,1,Krapinsko- zagorska županija,049/ 329-801,,Građani Županije,,1,2,Krapinsko-zagorska županija,4296,Oroslavje,49243,Oroslavje,Oro trg,1,,2455041,5093834," 15° 54' 52"""," 45° 59' 47"""
10042,,215,14902,1,"Blok Centar, Trg Slobode 4",1,Osječko- baranjska županija,031/ 252-330,,Građani Županije,,1,14,Osječko-baranjska županija,4301,Osijek,31000,Osijek,Trg Slobode,4,,2079302.81,5710055.71," 18° 40' 43"""," 45° 33' 35"""
10040,10218,216,14901,1,"Esseker centar,
Ribarska 4-6",1,Osječko- baranjska županija,031/ 252-410,,Građani Županije,,1,14,Osječko-baranjska županija,4301,Osijek,31000,Osijek,Ribarska,4,,2670284.7,5047750.08," 18° 40' 37"""," 45° 33' 45"""
10218,10040,216,14915,2,"Esseker centar,Ribarska 4-6",1,Regija Slavonija,,,Pravne,,1,14,Osječko-baranjska županija,4301,Osijek,31000,Osijek,Ribarska,4,,2670284.7,5047750.08," 18° 40' 37"""," 45° 33' 45"""
10039,,217,14922,1,Gacka 10(trgovački centar Mercator),1,Osječko- baranjska županija,031/ 252-300,,Građani Županije,,1,14,Osječko-baranjska županija,4301,Osijek,31000,Osijek,Gacka,10,,2670483.85,5045777.48," 18° 40' 43"""," 45° 32' 41"""
10041,,223,14924,1,Strossmayerova 1,1,Osječko- baranjska županija,031 252 355,cash point - informacija za potrebe centralnog trezora i Banke - nije za objavu na webu,Građani Županije,isključivo za klijente osobnog bankarstva,1,14,Osječko-baranjska županija,4301,Osijek,31000,Osijek,Strossmayerova,1,,2078966.83,5710436.3," 18° 40' 32"""," 45° 33' 43"""
10043,,239,14618,1,Gajeva 26,1,Virovitičko- podravska županija,033/ 841-805,,Građani Županije,,1,10,Virovitičko-podravska županija,4645,Pitomača,33405,Pitomača,Gajeva,26,,2557135.9,5088735.68," 17° 13' 56"""," 45° 56' 59"""
