Oznaka bankomata;Adresa;Poštanski broj;Mjesto;Županija;Lokacija bankomata;Zemljopisna širina;Zemljopisna dužina;Uplatni modul
ATM338;SV. LEOPOLDA MANDIÆA 50A;31000;OSIJEK;OSJEÈKO-BARANJSKA;TC AVENUE MALL OSIJEK;45.547386;18.65633;FALSE
ATM339;SVILAJSKA 31A;31000;OSIJEK;OSJEÈKO-BARANJSKA;TC PORTANOVA OSIJEK;45.554089;18.636589;FALSE
ATM340;TRG BANA J. JELAÈIÆA 23;44400;GLINA;SISAÈKO-MOSLAVAÈKA;POŠTANSKI URED;45.340744;16.088963;FALSE
ATM341;HRVATSKOG PROLJEÆA 2;44440;DVOR;SISAÈKO-MOSLAVAÈKA;POŠTANSKI URED;45.067928;16.375988;FALSE
ATM342;GLAVNA 3;32227;BOROVO;VUKOVARSKO-SRIJEMSKA;POŠTANSKI URED;45.402504;18.978914;FALSE
ATM343;PETRA KREŠIMIRA IV BR.7;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;TRGOVINA TERRA MARIQUE;42.643257;18.112057;FALSE
ATM344;TRG PETRA ŠEGEDINA 7;20260;KORÈULA;DUBROVAÈKO-NERETVANSKA;PRIVATNI PROSTOR;42.960663;17.134401;FALSE
ATM345;HRVATSKIH BRANITELJA 13;42000;VARAŽDIN;VARAŽDINSKA;KITRO D.O.O.;46.298058;16.327572;FALSE
ATM347;TRG NA MOSTU 2;52100;PULA;ISTARSKA;SUPERCOLOR D.O.O.;44.876568;13.850927;FALSE
ATM348;I. POLJANICE 4;10000;ZAGREB;GRAD ZAGREB;EUROHERC;45.829308;16.069221;FALSE
ATM349;TRG ŽRTAVA DOMOVINSKOG RATA 3;32260;GUNJA;VUKOVARSKO-SRIJEMSKA;PRIVATNI PROSTOR;44.88818;18.827284;FALSE
ATM352;KSAVERSKA CESTA 43;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR;45.832001;15.977726;FALSE
ATM353;ZAMETSKA 44;51000;RIJEKA;PRIMORSKO-GORANSKA;KAUFLAND RIJEKA;45.340488;14.398012;FALSE
ATM354;F. SUPILA BB;42000;VARAŽDIN;VARAŽDINSKA;ŽELJEZNIÈKI KOLODVOR;46.305202;16.345833;FALSE
ATM355;ILICA 167A;10000;ZAGREB;GRAD ZAGREB;POKLON GALERIJA;45.812355;15.948061;FALSE
ATM356;ULICA GRADA VUKOVARA 41;10000;ZAGREB;GRAD ZAGREB;ZG HOLDING;45.800236;15.973907;FALSE
ATM357;DESNA 61;44201;MARTINSKA VES;SISAÈKO-MOSLAVAÈKA;POŠTANSKI URED;45.584583;16.370415;FALSE
ATM358;KUKULJANOVO B.B.;51227;KUKULJANOVO;PRIMORSKO-GORANSKA;PLODINE;45.326385;14.515471;FALSE
ATM359;BRNA BB;20276;BRNA;DUBROVAÈKO-NERETVANSKA;TURISTIÈKA ZAJEDNICA BRNA;42.90625;16.861172;FALSE
ATM360;SV. IVANA KRSTITELJA 90;31326;DARDA;OSJEÈKO-BARANJSKA;CAFFE BAR SVIK;45.62624;18.686523;FALSE
ATM361;VELIMIRA ŠKORPIKA 23;22000;ŠIBENIK;ŠIBENSKO-KNINSKA;TC DALMARE;43.713516;15.916325;FALSE
ATM362;OBALA J. TROGIRANINA 5;21219;TROGIR;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.517506;16.251097;FALSE
ATM363;LJUDEVITA GAJA 15;32100;VINKOVCI;VUKOVARSKO-SRIJEMSKA;TECHNO SHOP;45.294353;18.805532;FALSE
ATM364;OPTUJSKA 26;42000;VARAŽDIN;VARAŽDINSKA;KITRO;46.313591;16.32959;FALSE
ATM365;BISTRIÈKA 6;10360;SESVETE;GRAD ZAGREB;KAUFLAND SESVETE;45.832836;16.107674;FALSE
ATM366;ŠETALIŠTE MARŠALA TITA 29;51415;LOVRAN;PRIMORSKO-GORANSKA;POŠTANSKI URED;45.291653;14.277173;FALSE
ATM367;TRG SVETOG JURJA 10;49245;GORNJA STUBICA;KRAPINSKO-ZAGORSKA;TRGOVINA TRGOSTIL;45.974983;16.017853;FALSE
ATM368;V. ŠIPEKA 25;49244;STUBIÈKE TOPLICE;KRAPINSKO-ZAGORSKA;TRGOVINA TRGOSTIL;45.977551;15.93142;FALSE
ATM369;ZVONIMIROVA 45;21103;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.505959;16.447327;FALSE
ATM370;GAJEVA 4;10430;SAMOBOR;ZAGREBAÈKA;POŠTANSKI URED;45.80283;15.710074;FALSE
ATM371;KRALJA ZVONIMIRA 9;22300;KNIN;ŠIBENSKO-KNINSKA;POSLOVNICA;44.034531;16.197195;TRUE
ATM372;BRANITELJA OD TURAKA 2;21212;KAŠTEL SUÈURAC;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.546104;16.426342;FALSE
ATM373;FOŠAL 1;21310;OMIŠ;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.443851;16.692438;FALSE
ATM374;ZVONIMIROVA 38;10113;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.810474;15.995225;FALSE
ATM375;LAURENÈIÆEVA 8;10121;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.793442;16.004698;FALSE
ATM376;JABLANSKA 24;10145;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.798096;15.913889;FALSE
ATM377;TRG NARODNE ZAŠTITE 1;10173;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.768017;15.947149;FALSE
ATM378;MATOŠEVA 29;21210;SOLIN;SPLITSKO-DALMATINSKA;HIPERMARKET TOMMY;43.530678;16.487818;FALSE
ATM379;BANA J. JELAÈIÆA 7;32270;ŽUPANJA;VUKOVARSKO-SRIJEMSKA;KNJIGOVODSTVENI SERVIS;45.071697;18.694595;FALSE
ATM380;ŽNJANSKA 4;21000;SPLIT;SPLITSKO-DALMATINSKA;HIPERMARKET TOMMY;43.506577;16.483065;FALSE
ATM381;ŠETALIŠTE STJEPANA RADIÆA 19;21260;IMOTSKI;SPLITSKO-DALMATINSKA;POSLOVNICA;43.44738;17.215366;TRUE
ATM382;TINJAN 2;52444;TINJAN;ISTARSKA;POŠTANSKI URED;45.217178;13.836417;FALSE
ATM383;VELEBITSKA 123;21000;SPLIT;SPLITSKO-DALMATINSKA;DISKONT FENIKS;43.513733;16.471466;FALSE
ATM385;TIHA 2;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;SUVENIRNICA;42.642159;18.105534;FALSE
ATM386;ULICA VLADIMIRA NAZORA 1A;43000;BJELOVAR;BJELOVARSKO-BILOGORSKA;POSLOVNICA;45.899101;16.840904;TRUE
ATM387;FLORIJANSKI TRG 13;48000;KOPRIVNICA;KOPRIVNIÈKO-KRIŽEVAÈKA;POSLOVNICA;46.164124;16.828178;TRUE
ATM388;VOZIŠÆE 3;51216;VIŠKOVO;PRIMORSKO-GORANSKA;POŠTANSKI URED;45.380997;14.386062;FALSE
ATM389;VINKOVAÈKA 6;32271;ROKOVCI-ANDRIJAŠEVCI;VUKOVARSKO-SRIJEMSKA;POŠTANSKI URED;45.2285;18.741943;FALSE
ATM390;TRG KRALJA TOMISLAVA 17;31550;VALPOVO;OSJEÈKO-BARANJSKA;POŠTANSKI URED/ISPOSTAVA BANKE;45.658028;18.417892;TRUE
ATM391;SLAVONSKA AVENIJA 11D;10040;ZAGREB;GRAD ZAGREB;CITY CENTAR ONE EAST;45.80061;16.049438;FALSE
ATM392;TINA UJEVIÆA 10;21276;VRGORAC;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.204224;17.372131;FALSE
ATM393;HRVATSKIH BRANITELJA 2;23206;SUKOŠAN;ZADARSKA;POŠTANSKI URED;44.046383;15.313981;FALSE
ATM394;BANA JELAÈIÆA 26;31226;DALJ;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.486401;18.984001;FALSE
ATM395;TRG BANA JELAÈIÆA 8;31511;ÐURÐENOVAC;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.541992;18.050451;FALSE
ATM396;HEBRANGOVO NASELJE BB;35106;SLAVONSKI BROD;BRODSKO-POSAVSKA;POŠTANSKI URED;45.157932;18.033587;FALSE
ATM397;ALOJZIJA STEPINCA 24;35430;OKUÈANI;BRODSKO-POSAVSKA;POŠTANSKI URED;45.259464;17.200928;FALSE
ATM398;TRG FUNTANA 3;52420;BUZET;ISTARSKA;POŠTANSKI URED;45.407463;13.964197;FALSE
ATM399;BANA J. JELAÈIÆA 8;31400;ÐAKOVO;OSJEÈKO-BARANJSKA;POSLOVNICA;45.310814;18.410522;TRUE
ATM400;ULJARSKA 4;51000;RIJEKA;PRIMORSKO-GORANSKA;POSLOVNICA;45.325352;14.443374;TRUE
ATM402;KREŠIÆEVA 32;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR - OKRETIŠTE BORONGAJ;45.814449;16.019375;FALSE
ATM403;BOLNIÈKA 2;34550;PAKRAC;POŽEŠKO-SLAVONSKA;PRIVATNI PROSTOR;45.437153;17.19215;FALSE
ATM405;TOME MASARYKA 28;40000;ÈAKOVEC;MEÐIMURSKA;POSLOVNICA;46.39106;16.434265;TRUE
ATM406;TINA UJEVIÆA 1;10290;ZAPREŠIÆ - NOVI DVORI;ZAGREBAÈKA;FRIZERSKI SALON;45.870621;15.796929;FALSE
ATM407;DAVORA ZBILJKOG 26;10000;ZAGREB;GRAD ZAGREB;PIZZERIA II MONDO;45.786488;16.00687;FALSE
ATM408;DRAGE 14;22000;ŠIBENIK;ŠIBENSKO-KNINSKA;AUTOBUSNI KOLODVOR;43.732121;15.892856;FALSE
ATM409;PRILJEVO BB;32000;VUKOVAR;VUKOVARSKO-SRIJEMSKA;KAUFLAND VUKOVAR;45.367329;18.968733;FALSE
ATM410;ÈULINEÈKA CESTA 31;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR;45.823475;16.064329;FALSE
ATM411;TRG IVANA KUKULJEVIÆA 5;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.804825;15.895329;TRUE
ATM412;GUNDULIÆEVA 22;21000;SPLIT;SPLITSKO-DALMATINSKA;PRIVATNI PROSTOR;43.514118;16.438421;FALSE
ATM413;MANDROVIÆEVA 3;10123;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.817417;16.000729;FALSE
ATM414;DENISA ŠPIKE 12;23000;ZADAR;ZADARSKA;MO BRODARICA;44.127289;15.224975;FALSE
ATM415;STJEPANA PL. HORVATA 18;35101;SLAVONSKI BROD;BRODSKO-POSAVSKA;LJEKARNA FURIÆ;45.155209;18.019308;FALSE
ATM416;TRG BANA J. JELAÈIÆA 5;32281;IVANKOVO;VUKOVARSKO-SRIJEMSKA;PRIVATNI PROSTOR T.O. PLUS;45.287941;18.68367;FALSE
ATM417;A. STEPINCA 101;32100;VINKOVCI;VUKOVARSKO-SRIJEMSKA;PRIVATNI PROSTOR;45.289192;18.70796;FALSE
ATM418;TRG HRVATSKIH REDARSTVENIKA 1;47000;KARLOVAC;KARLOVAÈKA;KONZUM;45.489178;15.541213;FALSE
ATM419;TRG MLADOSTI 13;10290;ZAPREŠIÆ;ZAGREBAÈKA;MJENJAÈNICA;45.861027;15.799316;FALSE
ATM420;KUÈERINA 76;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR NATURAL SISTEM;45.805473;15.953066;FALSE
