Oznaka bankomata;Adresa;Poštanski broj;Mjesto;Županija;Lokacija bankomata;Zemljopisna širina;Zemljopisna dužina;Uplatni modul
ATM067;OLAJNICA 19;32000;VUKOVAR;VUKOVARSKO-SRIJEMSKA;FINA;45.352062;18.999632;FALSE
ATM070;ISTARSKA 7;52103;PULA;ISTARSKA;POŠTANSKI URED;44.870621;13.848438;FALSE
ATM071;PINO BUDIÈIN 1;52441;POREÈ;ISTARSKA;POŠTANSKI URED;45.227242;13.59615;FALSE
ATM072;ZELENA LAGUNA;52442;POREÈ ZL;ISTARSKA;POŠTANSKI URED;45.198219;13.591182;FALSE
ATM073;1.SVIBNJA BR.1;52470;UMAG;ISTARSKA;POŠTANSKI URED;45.431763;13.522325;FALSE
ATM074;M. BENUSSI 4;52210;ROVINJ;ISTARSKA;POŠTANSKI URED;45.080906;13.639612;FALSE
ATM076;BODULSKA BB;51500;KRK;PRIMORSKO-GORANSKA;POŠTANSKI URED;45.026123;14.572699;FALSE
ATM077;IVANA SKOMERŽE 1;51260;CRIKVENICA;PRIMORSKO-GORANSKA;POŠTANSKI URED;45.172523;14.691339;FALSE
ATM078;I.K.SAKCINSKOG 1;44000;SISAK;SISAÈKO-MOSLAVAÈKA;FINA;45.487621;16.371195;FALSE
ATM080;ANTE STARÈEVIÆA BB;22104;ŠIBENIK;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.732243;15.896616;TRUE
ATM081;OBALA I.J.COTE 4;22211;VODICE;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.758354;15.776539;FALSE
ATM084;OBALA 2 BR.1;20270;VELA LUKA;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.96418;16.716063;FALSE
ATM085;TRG 4.SVIBNJA 1;21300;MAKARSKA;SPLITSKO-DALMATINSKA;POSLOVNICA;43.295261;17.017609;FALSE
ATM086;DOMOVINSKOG RATA 53;21104;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.519211;16.447971;FALSE
ATM087;VINKOVAÈKA 8;21107;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.514488;16.45443;FALSE
ATM088;KRALJA BRANIMIRA 4;22300;KNIN;ŠIBENSKO-KNINSKA;FINA;44.039757;16.195692;FALSE
ATM089;KANIŠKA 4;53000;GOSPIÆ;LIÈKO-SENJSKA;FINA;44.54586;15.374851;FALSE
ATM090;FRANA GALOVIÆA;49000;KRAPINA;KRAPINSKO-ZAGORSKA;FINA;46.158909;15.874043;FALSE
ATM091;OTOKARA KERŠOVANIJA 7;40000;ÈAKOVEC;MEÐIMURSKA;FINA;46.387943;16.438681;FALSE
ATM092;BRDO 3;10340;VRBOVEC;ZAGREBAÈKA;FINA;45.884663;16.415956;FALSE
ATM095;OBALA KRALJA ZVONIMIRA 5;53270;SENJ;LIÈKO-SENJSKA;POŠTANSKI URED;44.991074;14.901162;FALSE
ATM097;MEŠTROVIÆEV TRG BB;10129;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.778957;15.996115;FALSE
ATM099;SLAVKA KOLARA 15;10410;VELIKA GORICA;ZAGREBAÈKA;POŠTANSKI URED;45.713417;16.070412;FALSE
ATM100;OZALJSKA 150;10110;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.797382;15.937128;FALSE
ATM101;SIGET 18C;10020;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.770615;15.968199;FALSE
ATM102;KENNEDYEV TRG 11;10142;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.814743;16.009119;FALSE
ATM103;TRG S.KONZULA 5;10135;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.806576;16.020342;FALSE
ATM104;ZAGREBAÈKA B.B.;42220;NOVI MAROF;VARAŽDINSKA;INICIJA D.O.O.;46.159828;16.335255;FALSE
ATM105;D. ŠVAJCARA 5;10290;ZAPREŠIÆ;ZAGREBAÈKA;POŠTANSKI URED;45.858814;15.803275;FALSE
ATM106;TOMASSINIJEVA 13;52105;PULA;ISTARSKA;POŠTANSKI URED;44.857475;13.839372;FALSE
ATM108;ZAGREBAÈKA 2/A;49250;ZLATAR;KRAPINSKO-ZAGORSKA;TEKSTIL D.O.O.;46.091389;16.077162;FALSE
ATM109;ULICA VILE VELEBITA BB;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.839161;16.061991;FALSE
ATM110;BIHAÆKA 2;21000;SPLIT;SPLITSKO-DALMATINSKA;POSLOVNICA;43.512535;16.44207;FALSE
ATM111;ZAGORSKA 27;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.807026;15.941066;FALSE
ATM113;BAŠTIJANOVA-DRVINJE;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.8008;15.929618;FALSE
ATM114;TRG SVETOG TROJSTVA 19;34000;POŽEGA;POŽEŠKO-SLAVONSKA;FINA;45.330894;17.677132;FALSE
ATM115;KAMENITA VRATA 8;34000;POŽEGA;POŽEŠKO-SLAVONSKA;POŠTANSKI URED;45.334892;17.677946;FALSE
ATM116;TRG KRALJATOMISLAVA 19;44320;KUTINA;SISAÈKO-MOSLAVAÈKA;POŠTANSKI URED;45.482597;16.776274;FALSE
ATM117;B.I.MAŽURANIÆA 5;22103;ŠIBENIK;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.743446;15.89859;FALSE
ATM118;TRG S. RADIÆA 9;22202;PRIMOŠTEN;ŠIBENSKO-KNINSKA;POŠTANSKI URED;43.588192;15.925241;FALSE
ATM119;VIDICI BB;22000;ŠIBENIK;ŠIBENSKO-KNINSKA;KONZUM-AGROKOR;43.723228;15.908546;FALSE
ATM120;PRILAZ BARUNA FILIPOVIÆA 54;10109;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.811661;15.944778;FALSE
ATM121;LJUDEVITA POSAVSKOG BB;31106;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.564037;18.652843;FALSE
ATM122;PAPANDOPULOVA 1;21114;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.507423;16.471371;FALSE
ATM123;TRG A. STEPINCA 1;21322;BRELA;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.368057;16.931669;FALSE
ATM124;MATICE HRVATSKE 14A;43000;BJELOVAR;BJELOVARSKO-BILOGORSKA;KONZUM;45.895714;16.842106;FALSE
ATM126;ALBAHARIJEVA 7;10124;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.791061;15.950818;FALSE
ATM127;FRANJE TUÐMANA 19;21216;KAŠTEL STARI;SPLITSKO-DALMATINSKA;PRIVAT PROSTOR;43.553432;16.353085;FALSE
ATM128;TRG KRALJA TOMISLAVA 6;33000;VIROVITICA;VIROVITIÈKO-PODRAVSKA ;NARODNE NOVINE;45.834801;17.387098;FALSE
ATM129;KOPARSKA 64;52104;PULA;ISTARSKA;POŠTANSKI URED;44.876965;13.861141;FALSE
ATM131;TURININA BB;10000;ZAGREB;GRAD ZAGREB;KONZUM-AGROKOR;45.772762;15.989699;FALSE
ATM132;KRALJA ZVONIMIRA 99;31431;ÈEPIN;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.523354;18.564793;FALSE
ATM135;SVETONEDJELJSKA 22;10430;SAMOBOR;ZAGREBAÈKA;TRGOVINA BEBER;45.799294;15.721757;FALSE
ATM136;ALOJZIJA STEPINCA 17;31000;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.560112;18.685974;TRUE
ATM138;OBALA SV. NIKOLE;21320;BAŠKA VODA;SPLITSKO-DALMATINSKA;KONZUM-AGROKOR;43.355873;16.949297;FALSE
ATM139;N. ZRINSKOG 86;35103;SLAVONSKI BROD;BRODSKO-POSAVSKA;POŠTANSKI URED;45.158787;18.023918;FALSE
ATM140;TRG HRV. PROLJEÆA BB;35000;SLAVONSKI BROD;BRODSKO-POSAVSKA;POŠTANSKI URED;45.162903;18.009172;FALSE
ATM141;BRAÆE RADIÆA 8A;42000;VARAŽDIN;VARAŽDINSKA;KONZUM -AGROKOR;46.305408;16.32959;FALSE
ATM142;MIROSLAVA KRLEŽE 1;42000;VARAŽDIN;VARAŽDINSKA;POŠTANSKI URED;46.297966;16.338472;FALSE
ATM143;TRG SV. TROJSTVA BB;42230;LUDBREG;VARAŽDINSKA;POŠTANSKI URED;46.250565;16.61931;FALSE
ATM144;VLADIMIRA NAZORA 2;42240;IVANEC;VARAŽDINSKA;POŠTANSKI URED;46.225098;16.12484;FALSE
ATM145;IVANA I STJEPANA VIDULIÆA 38;51553;MALI LOŠINJ;PRIMORSKO-GORANSKA;POŠTANSKI URED;44.533718;14.468093;FALSE
ATM146;OBALA M. TITA BB;52221;RABAC;ISTARSKA;POŠTANSKI URED;45.079445;14.158802;FALSE
ATM147;M. VLAŠIÆA 20;52440;POREÈ;ISTARSKA;NARODNE NOVINE;45.23024;13.606106;FALSE
ATM148;GAJEVA 2;43000;BJELOVAR;BJELOVARSKO-BILOGORSKA;POŠTANSKI URED;45.898865;16.840967;FALSE
ATM149;TRG KRALJA TOMISLAVA 3;43500;DARUVAR ;BJELOVARSKO-BILOGORSKA;FINA;45.593712;17.22328;FALSE
ATM150;STJEPANA RADIÆA 3;48350;ÐURÐEVAC;KOPRIVNIÈKO-KRIŽEVAÈKA;POŠTANSKI URED;46.041088;17.068409;FALSE
ATM152;VUKOVARSKA 28;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.651638;18.092937;FALSE
ATM153;TURKULINOVA 48;44250;PETRINJA;SISAÈKO-MOSLAVAÈKA;POŠTANSKI URED;45.441856;16.283636;FALSE
ATM154;SJENJAK137;31112;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.551033;18.695019;FALSE
ATM155;VLADIMIRA NAZORA 1;33520;SLATINA;VIROVITIÈKO-PODRAVSKA ;FINA;45.702881;17.701414;FALSE
ATM156;KRALJA TOMISLAVA B.B.;35400;NOVA GRADIŠKA;BRODSKO-POSAVSKA;POŠTANSKI URED;45.258945;17.381336;FALSE
ATM157;TRG GROFOVA  ERDODYA BB;44317;POPOVAÈA;SISAÈKO-MOSLAVAÈKA;LONIA;45.571243;16.628107;FALSE
ATM158;JURIŠIÆEVA 4;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.812328;15.979142;TRUE
ATM160;DUBRAVA 53;10040;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.830196;16.054672;FALSE
ATM161;FRANA KURELCA 8;51000;RIJEKA;PRIMORSKO-GORANSKA;FINA;45.328613;14.440665;FALSE
ATM163;DOMAGOJEVA OBALA 1;53291;NOVALJA;LIÈKO-SENJSKA;POŠTANSKI URED;44.55658;14.882848;FALSE
ATM164;BLAGE ZADRE 2;32227;BOROVO;VUKOVARSKO-SRIJEMSKA;BOROVO STANDARD;45.375854;18.963314;FALSE
ATM166;MEKSIÈKA BB;10133;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.814846;15.873935;FALSE
ATM167;J. ZORIÆA 26;10370;DUGO SELO;ZAGREBAÈKA;POŠTANSKI URED;45.805363;16.235407;FALSE
ATM168;K. TOMISLAVA 2;10450;JASTREBARSKO;ZAGREBAÈKA;POŠTANSKI URED;45.674179;15.653694;FALSE
ATM169;BRANIMIROVA 4;10000;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.80476;15.981224;FALSE
ATM170;NIKOLE PAVIÆA 14;40101;ÈAKOVEC;MEÐIMURSKA;POŠTANSKI URED;46.379452;16.443508;FALSE
ATM172;STROSSMAJERA 4;32000;VUKOVAR;VUKOVARSKO-SRIJEMSKA;POŠTANSKI URED;45.352055;19.002743;FALSE
ATM173;I. ŠIBLA 22;10000;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.77874;15.98721;FALSE
ATM175;ILICA 508;10090;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.813015;15.902152;FALSE
ATM176;FRANJE TUÐMANA BB;10431;SVETA NEDJELJA;ZAGREBAÈKA;POSLOVNICA;45.803288;15.793018;FALSE
ATM177;DUGOSELSKA 35;10361;SESVETSKI KRALJEVEC;ZAGREBAÈKA;POŠTANSKI URED;45.816628;16.17458;FALSE
ATM180;ŠIROKA 8;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.641228;18.108334;FALSE
ATM181;ULICA 25. RUJNA 38;52000;PAZIN;ISTARSKA;ISTRACOMMERCE;45.239223;13.936393;FALSE
ATM182;DR F. RAÈKOG 2B;32270;ŽUPANJA;VUKOVARSKO-SRIJEMSKA;POŠTANSKI URED;45.072006;18.695211;FALSE
ATM183;M. A. RELJKOVIÆA 7;32100;VINKOVCI;VUKOVARSKO-SRIJEMSKA;POŠTANSKI URED;45.290226;18.804989;FALSE
ATM184;TRG BANA JELAÈIÆA BB;31103;OSIJEK;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.556515;18.716133;FALSE
ATM185;TRG EUGENA KUMIÈIÆA 11;48000;KOPRIVNICA;KOPRIVNIÈKO-KRIŽEVAÈKA;POŠTANSKI URED;46.160789;16.842239;FALSE
ATM186;IVANA DANILA BB;21216;KAŠTEL STARI;SPLITSKO-DALMATINSKA;POSLOVNICA;43.550617;16.343;FALSE
ATM187;MARINA DRŽIÆA 4;10000;ZAGREB;GRAD ZAGREB;AUTOBUSNI KOLODVOR - 1 KAT;45.803787;15.993251;TRUE
ATM188;MARINA DRŽIÆA 4;10000;ZAGREB;GRAD ZAGREB;AUTOBUSNI KOLODVOR - DOLAZNI PERONI;45.803856;15.993143;FALSE
ATM189;IMRE NAGYA 2E;31300;BELI MANASTIR;OSJEÈKO-BARANJSKA;POŠTANSKI URED/ISPOSTAVA;45.76902;18.59803;FALSE
ATM190;MAKSIMILIJANA VRHOVCA 9;47108;KARLOVAC;KARLOVAÈKA;POŠTANSKI URED;45.48159;15.549088;FALSE
ATM191;GRADIŠÆANSKIH HRVATA 22;21110;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.520962;16.467733;FALSE
ATM192;KRALJA ZVONIMIRA 77;21210;SOLIN;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.536308;16.489534;FALSE
ATM193;LIVANJSKA 19;21230;SINJ;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.702072;16.639996;FALSE
ATM194;J.J STROSSMAJERA 8;23104;ZADAR;ZADARSKA;POŠTANSKI URED;44.116737;15.232909;FALSE
ATM196;TRG SVETOG JURJA 5;47250;DUGA RESA;KARLOVAÈKA;POŠTANSKI URED;45.449322;15.499392;FALSE
ATM197;TRG JOSIPA BROZA 2;47000;KARLOVAC;KARLOVAÈKA;OTP TRŽNICA;45.489334;15.547285;FALSE
ATM199;PRAŠKA 5;10000;ZAGREB;GRAD ZAGREB;GENERALTURIST;45.812359;15.977597;FALSE
ATM200;MAGOVCA 31;10000;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.771362;15.994517;FALSE
ATM203;OBALA LASTOVSKIH RIBARA BB;20289;UBLI;DUBROVAÈKO-NERETVANSKA;URED CARINARNICE LASTOVO;42.746098;16.824919;FALSE
ATM204;CESARÈEVA 2A;21000;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.503304;16.426544;FALSE
ATM205;TRG KRALJA TOMISLAVA 18;20340;PLOÈE;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;43.049164;17.43395;FALSE
ATM206;DUBROVAÈKA 31;21000;SPLIT;SPLITSKO-DALMATINSKA;POSLOVNICA;43.510956;16.454247;TRUE
ATM208;TRG ÐURE SZABE 7;44330;NOVSKA;SISAÈKO-MOSLAVAÈKA;HRVATSKA LUTRIJA;45.340218;16.977825;FALSE
ATM209;POLJIÈKA 4;21000;SPLIT;SPLITSKO-DALMATINSKA;HRVATSKA LUTRIJA;43.50486;16.455309;FALSE
ATM210;ŠIMIÆEVA 31;21000;SPLIT;SPLITSKO-DALMATINSKA;HRVATSKA LUTRIJA;43.507614;16.463602;FALSE
ATM211;VLAŠKA 10- TRG DRAGE IBLERA;10000;ZAGREB;GRAD ZAGREB;IMPORTANE GALLERIA;45.813652;15.985065;FALSE
ATM212;MOSLAVAÈKA 14;10310;IVANIÆ GRAD;ZAGREBAÈKA;POŠTANSKI URED;45.706406;16.393339;FALSE
ATM214;AVENIJA DUBRAVA 47;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.828613;16.051165;FALSE
ATM215;MAROFSKA 2;42212;KUÈAN MAROF;VARAŽDINSKA;POŠTANSKI URED;46.294289;16.37126;FALSE
ATM216;ŠIMUNA KOŽIÈIÆA BENJE 1;23000;ZADAR;ZADARSKA;POŠTANSKI URED;44.115345;15.224884;FALSE
ATM217;ZELENICE 1;52220;LABIN;ISTARSKA;POŠTANSKI URED;45.094551;14.121144;FALSE
ATM218;TRG KRALJA TOMISLAVA 37;10410;VELIKA GORICA;ZAGREBAÈKA;POSLOVNICA;45.713535;16.075573;FALSE
ATM219;ZRAÈNA LUKA DUBROVNIK;20213;ÈILIPI;DUBROVAÈKO-NERETVANSKA;ZRAÈNA LUKA DUBROVNIK;42.561001;18.260286;FALSE
ATM220;SAVSKA CESTA 25;10000;ZAGREB;GRAD ZAGREB;STUDENTSKI CENTAR;45.80442;15.965946;FALSE
ATM221;TRG ŽABICA 1;51000;RIJEKA;PRIMORSKO-GORANSKA;AUTOBUSNI KOLODVOR;45.327709;14.437162;FALSE
ATM222;TRG STJEPANA RADIÆA BB;53000;GOSPIÆ;LIÈKO-SENJSKA;POSLOVNICA;44.547558;15.371418;FALSE
ATM223;TRG J.J. STROSSMAYERA 27;48260;KRIŽEVCI;KOPRIVNIÈKO-KRIŽEVAÈKA;TRGOVINA VENUS;46.023891;16.545732;FALSE
ATM224;FRANJE ÈANDEKA BB;51000;RIJEKA;PRIMORSKO-GORANSKA;TRGOVAÈKI CENTAR ANDREA;45.339325;14.414449;FALSE
ATM225;MATIJE GUPCA 3;35000;SLAVONSKI BROD;BRODSKO-POSAVSKA;POSLOVNICA;45.155743;18.014402;FALSE
ATM226;ŠESTINSKI VIJENAC 2;10000;ZAGREB;GRAD ZAGREB;DVD ŠESTINE;45.852215;15.949906;FALSE
ATM228;LASTOVSKA 2A;10000;ZAGREB;GRAD ZAGREB;FOTO STUDIO SAVICA;45.794312;15.996737;FALSE
ATM229;ANTICOVA 9;52100;PULA;ISTARSKA;POSLOVNICA;44.867664;13.845831;TRUE
ATM230;BRITANSKI TRG 12;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.812946;15.965238;FALSE
ATM231;BRITANSKI TRG 12;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.813015;15.965248;TRUE
ATM232;ŠETALIŠTE KRALJA ZVONIMIRA 21;20103;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.656689;18.076715;FALSE
ATM233;KORZO 13;51000;RIJEKA;PRIMORSKO-GORANSKA;POSLOVNICA;45.326534;14.442376;TRUE
ATM234;KAMIK 24;52100;PULA - BANJOLE;ISTARSKA;ARCUS DELTA;44.826393;13.879015;FALSE
ATM235;TRG F. TUÐMANA 2;32100;VINKOVCI;VUKOVARSKO-SRIJEMSKA;POSLOVNICA;45.287491;18.802382;TRUE
ATM236;TRG ANTE STARÈEVIÆA 7;31000;OSIJEK;OSJEÈKO-BARANJSKA;POSLOVNICA;45.56163;18.676586;TRUE
ATM237;ZAGREBAÈKA AVENIJA 94;10000;ZAGREB;GRAD ZAGREB;MERCATOR;45.79636;15.90977;FALSE
ATM238;IZIDORA KRŠNJAVOGA 1;47000;KARLOVAC;KARLOVAÈKA;HRVATSKA LUTRIJA;45.484734;15.556211;FALSE
ATM240;TRG K. ZVONIMIRA 3;33000;VIROVITICA;VIROVITIÈKO-PODRAVSKA;POSLOVNICA;45.834938;17.383139;FALSE
ATM241;OBALA S. RADIÆA 29;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;UDRUGA HVIDRA-E;42.657932;18.087358;FALSE
ATM242;KOLODVORSKA 2C;42204;TURÈIN;VARAŽDINSKA;POŠTANSKI URED;46.254539;16.359758;FALSE
ATM244;OSJEÈKA 71;51000;RIJEKA;PRIMORSKO-GORANSKA;MERCATOR;45.351406;14.417431;FALSE
ATM246;SLAVKA KRAUTZEKA 1;51000;RIJEKA;PRIMORSKO-GORANSKA;CVJEÆARNA NONA MIMI;45.331436;14.456935;FALSE
ATM248;HUZJANOVA 2;10000;ZAGREB;GRAD ZAGREB;KONZUM;45.815701;15.86885;FALSE
ATM249;VRLIÈKA 50;21230;SINJ;SPLITSKO-DALMATINSKA;POSLOVNICA;43.704769;16.638664;FALSE
ATM250;VUKOVARSKA 269B;10000;ZAGREB;GRAD ZAGREB;MERCATOR;45.802238;16.007296;FALSE
ATM253;PUT KOTLARA BB;23000;ZADAR;ZADARSKA;MARKET MAXI TONI;44.105755;15.250461;FALSE
ATM254;AVENIJA DUBROVNIK 32;10000;ZAGREB;GRAD ZAGREB;POREZNA UPRAVA;45.77734;15.988573;FALSE
ATM255;GRUDA 43;20215;GRUDA;DUBROVAÈKO-NERETVANSKA;POSLOVNICA;42.516792;18.377167;FALSE
ATM256;TRUMBIÆEV PUT BB;20210;CAVTAT;DUBROVAÈKO-NERETVANSKA;PRIVAT PROSTOR - SUVENIRNICA;42.580894;18.217718;FALSE
ATM259;OBALA POMORACA 30;20250;OREBIÆ;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.974293;17.177938;FALSE
ATM261;PRISAVLJE 3;10000;ZAGREB;GRAD ZAGREB;HRVATSKA RADIOTELEVIZIJA;45.792625;15.974883;FALSE
ATM262;ŠIBENSKA 7;23106;ZADAR;ZADARSKA;POŠTANSKI URED;44.118877;15.253353;FALSE
ATM263;TRG MARŠALA TITA 1;51211;MATULJI;PRIMORSKO-GORANSKA;FINA;45.36393;14.325458;FALSE
ATM264;BARTOLA KAŠIÆA 2;20236;MOKOŠICA;DUBROVAÈKO-NERETVANSKA;POŠTANSKI URED;42.675621;18.109192;FALSE
ATM266;BRAÆE DOMANY 8;10140;ZAGREB;GRAD ZAGREB;POŠTANSKI URED;45.789387;15.938394;FALSE
ATM267;VLAHE PALJETKA 1;43103;BJELOVAR;BJELOVARSKO-BILOGORSKA;POŠTANSKI URED;45.904373;16.85129;FALSE
ATM268;ŠETALIŠTE K. BRANIMIRA 29;23420;BENKOVAC;ZADARSKA;PRIVATNI PROSTOR;44.033508;15.611808;FALSE
ATM269;TRG HRVATSKIH VELIKANA 30;23210;BIOGRAD NA MORU;ZADARSKA;POŠTANSKI URED;43.93713;15.443559;FALSE
ATM270;VUKOVARSKA 48;20207;SREBRENO;DUBROVAÈKO-NERETVANSKA;OPÆINA ŽUPA DUBROVAÈKA;42.62286;18.193865;FALSE
ATM271;JANKOMIR 33;10000;ZAGREB;GRAD ZAGREB;CITY CENTER ONE;45.798618;15.884128;FALSE
ATM272;IVANA GUNDULIÆA 3;20350;METKOVIÆ;DUBROVAÈKO-NERETVANSKA;TEHNOMOBIL;43.053722;17.649483;FALSE
ATM273;JAKIŠNICA B.B.;53294;LUN;LIÈKO-SENJSKA;HOTEL LUNA D.O.O.;44.645023;14.775109;FALSE
ATM274;KVATERNIKOVA 65, VEŽICE;51000;RIJEKA;PRIMORSKO-GORANSKA;BRODOKOMERCE;45.321003;14.474825;FALSE
ATM276;MAKSIMIRSKA 107;10000;ZAGREB;GRAD ZAGREB;POSLOVNICA;45.818325;16.010469;FALSE
ATM277;KRALJA TOMISLAVA 23;51511;MALINSKA;PRIMORSKO-GORANSKA;HOTEL MALIN;45.119144;14.521565;FALSE
ATM278;ZAPREŠIÆKA 1;10298;DONJA BISTRA;ZAGREBAÈKA;WEST GATE - PRIZEMLJE;45.871487;15.825977;FALSE
ATM280;OPOROVEÈKA 14;10000;ZAGREB;GRAD ZAGREB;TRGOVAÈKI CENTAR GARDEN MALL;45.836037;16.045748;FALSE
ATM281;TRG VINODOLSKOG ZAKONIKA 1;51250;NOVI VINODOLSKI;PRIMORSKO-GORANSKA;FINA;45.128609;14.789186;FALSE
ATM282;GRGURA NINSKOG BB;10000;ZAGREB;GRAD ZAGREB;KOZMO;45.803913;15.977436;FALSE
ATM283;MARŠALA TITA 86;51410;OPATIJA;PRIMORSKO-GORANSKA;KOZMO;45.338009;14.308834;FALSE
ATM284;J.J. STROSSMAYERA 2;31500;NAŠICE;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.490601;18.094482;FALSE
ATM285;TRG ANTE STARÈEVIÆA 5;10380;SV. IVAN ZELINA;ZAGREBAÈKA;KONZUM;45.959827;16.242476;FALSE
ATM286;PALIT 67;51280;RAB;PRIMORSKO-GORANSKA;POŠTANSKI URED;44.760944;14.760733;FALSE
ATM288;TRG IVANA PAVLA II 1;21220;TROGIR;SPLITSKO-DALMATINSKA;POSLOVNICA;43.516781;16.251505;FALSE
